资产负债表;;;;;;;;;;;;;;;;;;;;;;;;;;
日期;2018-06;2018-03;2017-12;2017-09;2017-06;2017-03;2016-12;2016-09;2016-06;2016-03;2015-12;2015-09;2015-06;2015-03;2014-12;2014-09;2014-06;2014-03;2013-12;2013-09;2013-06;2013-03;2012-12;2012-09;2012-06;2012-03
营运现金流量;6.641e+06;5.2615e+07;4.6674e+07;4.5662e+07;5.0036e+07;8.4495e+07;6.8913e+07;4.5653e+07;2.3015e+07;3.7466e+07;5.3553e+07;2.817e+07;2.0047e+07;3.5004e+07;3.2509e+07;2.4472e+07;1.8144e+07;1.4326e+07;1.8646e+07;9.427e+06;5.447e+06;4.205e+06;-1.076e+06;7.342e+06;0;0
资本支出;-5.825e+06;-5.251e+06;-1.8644e+07;-9.319e+06;-1.0622e+07;-2.3238e+07;-1.8398e+07;-1.8882e+07;-9.799e+06;-1.3653e+07;-1.2338e+07;-1.3675e+07;-1.1497e+07;-7.62e+06;-1.016e+07;-1.211e+07;-1.077e+07;-3.708e+06;-6.092e+06;-5.171e+06;-3.306e+06;-3.038e+06;-1.575e+06;-2.225e+06;0;0
自由现金流;816000;4.7364e+07;2.803e+07;3.6343e+07;3.9414e+07;6.1257e+07;5.0515e+07;2.6771e+07;1.3216e+07;2.3813e+07;4.1215e+07;1.4495e+07;8.55e+06;2.7384e+07;2.2349e+07;1.2362e+07;7.374e+06;1.0618e+07;1.2554e+07;4.256e+06;2.141e+06;1.167e+06;-2.651e+06;5.117e+06;0;0
期初现金流;6.23994e+08;6.27878e+08;7.90945e+08;9.92904e+08;9.54649e+08;9.08717e+08;8.64593e+08;8.34747e+08;8.08002e+08;7.959e+08;7.50191e+08;7.29506e+08;7.15664e+08;6.80613e+08;6.44516e+08;6.27314e+08;6.16508e+08;2.52674e+08;2.26337e+08;2.21411e+08;4.048e+07;3.9302e+07;4.036e+07;3.5163e+07;0;0
期末现金流;6.11091e+08;6.23994e+08;6.27878e+08;7.90945e+08;9.92904e+08;9.54649e+08;9.08717e+08;8.64593e+08;8.34747e+08;8.08002e+08;7.959e+08;7.50191e+08;7.29506e+08;7.15664e+08;6.80613e+08;6.44516e+08;6.27314e+08;6.16508e+08;2.52674e+08;2.26337e+08;2.21411e+08;4.048e+07;3.9302e+07;4.036e+07;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;
利润表;;;;;;;;;;;;;;;;;;;;;;;;;;
总收入;2.82289e+08;2.46207e+08;2.49356e+08;2.14917e+08;2.1288e+08;1.99906e+08;2.50653e+08;2.06057e+08;1.98535e+08;1.71698e+08;2.0275e+08;1.70832e+08;1.4986e+08;1.30145e+08;1.42923e+08;1.04469e+08;9.0673e+07;7.4551e+07;8.1459e+07;6.1079e+07;4.99e+07;4e+07;4.1806e+07;3.2126e+07;2.91e+07;2.47e+07
毛利;2.47064e+08;2.13782e+08;2.19046e+08;1.84988e+08;1.86215e+08;1.73251e+08;2.2295e+08;1.82027e+08;1.73671e+08;1.49205e+08;1.81115e+08;1.50956e+08;1.33107e+08;1.14724e+08;1.31312e+08;9.4928e+07;8.2033e+07;6.7358e+07;7.5409e+07;5.6501e+07;4.55e+07;3.65e+07;3.8423e+07;2.9317e+07;2.66e+07;2.3e+07
成本;3.5225e+07;3.2425e+07;3.031e+07;2.9929e+07;2.6665e+07;2.6655e+07;2.7703e+07;2.403e+07;2.4864e+07;2.2493e+07;2.1635e+07;1.9876e+07;1.6753e+07;1.5421e+07;1.1611e+07;9.541e+06;8.64e+06;7.193e+06;6.05e+06;4.578e+06;4.346e+06;3.55e+06;3.383e+06;2.809e+06;0;0
其他资产;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
利息支出;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
其他利息收入;;;;;;;;;;;;;;;;;;;;;;;;;;
佣金及费用支出;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
