资产负债表;;;;;;;;;;;;;;;;;;;;;;;;;
日期;2018-06;2018-03;2017-12;2017-09;2017-06;2017-03;2016-12;2016-09;2016-06;2016-03;2015-12;2015-09;2015-06;2015-03;2014-12;2014-09;2014-06;2014-03;2013-12;2013-09;2013-06;2013-03;2012-12;2012-09;2012-03
流动负债总额;8.8548e+10;8.932e+10;1.15788e+11;1.00814e+11;8.1302e+10;7.3342e+10;8.413e+10;7.9006e+10;7.1486e+10;6.8265e+10;7.6092e+10;8.061e+10;6.5285e+10;5.8729e+10;7.3611e+10;6.3448e+10;4.6205e+10;4.3208e+10;5.3769e+10;3.6319e+10;3.5508e+10;3.5508e+10;3.8542e+10;3.306e+10;4.6879e+10
应付款项及应计费用;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
应付账款;3.8489e+10;3.4311e+10;6.2985e+10;4.9049e+10;3.1915e+10;2.8573e+10;3.851e+10;3.7294e+10;2.6318e+10;2.5098e+10;3.3312e+10;3.549e+10;2.6474e+10;2.3159e+10;3.8001e+10;3.0196e+10;2.0535e+10;1.8914e+10;2.9588e+10;2.2367e+10;1.5516e+10;1.4912e+10;2.6398e+10;2.1175e+10;0
应付税款;0;0;0;0;0;0;0;0;0;0;0;0;1.566e+09;2.017e+09;1.642e+09;1.209e+09;1.437e+09;2.16e+09;2.083e+09;1.2e+09;1.29e+09;1.61e+09;1.993e+09;1.535e+09;0
应计债务;2.5184e+10;2.6756e+10;2.6281e+10;2.5744e+10;2.3304e+10;2.3096e+10;2.3739e+10;2.2027e+10;2.082e+10;2.3208e+10;2.4032e+10;2.5181e+10;8.339e+09;7.781e+09;8.471e+09;7.689e+09;7.162e+09;6.751e+09;1.2266e+10;5.217e+09;4.875e+09;4.575e+09;1.1214e+10;8.387e+09;0
存款额;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
联邦基金费用;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
衍生负债;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
应付款项;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
交易负债;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
短期借债;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
短期借贷;1.7472e+10;2.0478e+10;1.8478e+10;1.8473e+10;1.8475e+10;1.3991e+10;1.3992e+10;1.1605e+10;1.5996e+10;1.0498e+10;9.759e+09;1.0999e+10;6.999e+09;3.799e+09;3.899e+09;6.308e+09;2.01e+09;0;0;0;0;0;0;0;0
预提支出及负债;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
租赁资本;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
其他流动负债;0;0;0;0;0;0;0;0;0;0;0;0;1.2819e+10;1.3029e+10;1.1478e+10;8.498e+09;6.665e+09;7.073e+09;1.475e+09;7.439e+09;7.305e+09;7.146e+09;0;1.492e+09;0
长期负债总额;1.457e+11;1.51304e+11;1.50807e+11;1.40458e+11;1.31446e+11;1.27108e+11;1.14621e+11;1.14431e+11;1.07575e+11;1.06555e+11;8.8925e+10;9.0514e+10;8.2189e+10;7.3459e+10;6.4955e+10;5.6844e+10;5.5375e+10;4.2602e+10;4.1731e+10;3.9793e+10;4.0183e+10;2.3745e+10;2.1863e+10;1.9312e+10;0
长期负债;9.7128e+10;1.01362e+11;1.03922e+11;9.7207e+10;8.9864e+10;8.4531e+10;7.3557e+10;7.5427e+10;6.8939e+10;6.9374e+10;5.3204e+10;5.3463e+10;4.7419e+10;4.0072e+10;3.2504e+10;2.8987e+10;2.903e+10;1.6962e+10;1.6961e+10;1.696e+10;1.6958e+10;0;0;0;0
递延税金;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
少数股东权益;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
递延所得税负债;3.98e+08;5.48e+08;5.48e+08;3.1504e+10;3.0191e+10;2.8226e+10;2.6948e+10;2.6019e+10;2.456e+10;2.2955e+10;2.1617e+10;2.4062e+10;2.4539e+10;2.3825e+10;2.3371e+10;2.0259e+10;2.0159e+10;1.9471e+10;1.8306e+10;1.6489e+10;0;1.6481e+10;0;0;0
递延收入;2.878e+09;3.087e+09;3.131e+09;2.836e+09;2.984e+09;3.107e+09;3.163e+09;2.93e+09;3.064e+09;3.322e+09;3.546e+09;3.624e+09;3.474e+09;3.571e+09;3.48e+09;3.031e+09;3.058e+09;3.164e+09;3.071e+09;2.625e+09;2.672e+09;2.877e+09;2.938e+09;2.648e+09;0
其他长期负债;4.5296e+10;4.6307e+10;4.3206e+10;8.911e+09;8.407e+09;1.1244e+10;1.0953e+10;1.0055e+10;1.1012e+10;1.0904e+10;1.0558e+10;9.365e+09;6.757e+09;5.991e+09;5.6e+09;4.567e+09;3.128e+09;3.005e+09;3.393e+09;3.719e+09;2.0553e+10;4.387e+09;1.8925e+10;1.6664e+10;0
其他负债;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
股东权益总计;1.14949e+11;1.26878e+11;1.40199e+11;1.34047e+11;1.32425e+11;1.34082e+11;1.3239e+11;1.28249e+11;1.26541e+11;1.30457e+11;1.28267e+11;1.19355e+11;1.25677e+11;1.29006e+11;1.23328e+11;1.11547e+11;1.2094e+11;1.20179e+11;1.29684e+11;1.23354e+11;1.3549e+11;1.3549e+11;1.1821e+11;1.11746e+11;1.27346e+11
资本公积;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0559e+10;1.9764e+10;1.9024e+10;1.7954e+10;1.7167e+10;1.6422e+10;0
优先股;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
普通股;3.8624e+10;3.8044e+10;3.6447e+10;3.5867e+10;3.4445e+10;3.3579e+10;3.2144e+10;3.1251e+10;3.0106e+10;2.9484e+10;2.8253e+10;2.7416e+10;2.6327e+10;2.5376e+10;2.4187e+10;2.3313e+10;2.2139e+10;2.1496e+10;0;0;0;0;0;0;0
留存收益;7.9436e+10;9.1898e+10;1.04593e+11;9.833e+10;9.8525e+10;1.00925e+11;1.00001e+11;9.6364e+10;9.6542e+10;1.02021e+11;1.01494e+11;9.2284e+10;9.8252e+10;1.0092e+11;9.7178e+10;8.7152e+10;9.8715e+10;9.8934e+10;1.09431e+11;1.04256e+11;1.04564e+11;1.16572e+11;1.09567e+11;1.01289e+11;0
库存股份;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
累积其他综合收益;-3.111e+09;-3.064e+09;-8.41e+08;-1.5e+08;-5.45e+08;-4.22e+08;2.45e+08;6.34e+08;-1.07e+08;-1.048e+09;-1.48e+09;-3.45e+08;1.098e+09;2.71e+09;1.963e+09;1.082e+09;8.6e+07;-2.51e+08;-3.06e+08;-4.71e+08;-2.34e+08;9.64e+08;6.12e+08;4.99e+08;0
;;;;;;;;;;;;;;;;;;;;;;;;;
现金流量表;;;;;;;;;;;;;;;;;;;;;;;;;
经营活动带来的净现金流;1.4488e+10;1.513e+10;2.8293e+10;1.5656e+10;8.363e+09;1.2523e+10;2.7056e+10;1.6126e+10;1.0634e+10;1.1601e+10;2.7463e+10;1.3475e+10;1.4988e+10;1.9081e+10;3.3722e+10;1.325e+10;1.0255e+10;1.3538e+10;2.267e+10;9.908e+09;7.828e+09;1.2504e+10;2.3426e+10;9.136e+09;0
净利润;1.1519e+10;1.3822e+10;2.0065e+10;1.0714e+10;8.717e+09;1.1029e+10;1.7891e+10;9.014e+09;7.796e+09;1.0516e+10;1.8361e+10;1.1124e+10;1.0677e+10;1.3569e+10;1.8024e+10;8.467e+09;7.748e+09;1.0223e+10;1.3072e+10;7.512e+09;6.9e+09;9.547e+09;1.3078e+10;8.223e+09;0
信用损失计提;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
折旧与摊销;2.665e+09;2.739e+09;2.745e+09;2.484e+09;2.354e+09;2.332e+09;2.987e+09;2.548e+09;2.526e+09;2.477e+09;2.954e+09;3.119e+09;3.084e+09;2.479e+09;2.575e+09;1.969e+09;1.946e+09;1.887e+09;2.144e+09;1.783e+09;1.694e+09;1.692e+09;1.588e+09;9.81e+08;0
递延所得税费用(收益);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
投资损失（收益）;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
投资/资产减损支出;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
债务和发行成本摊销;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
业务处置利得（损失）;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
股权补偿;1.351e+09;1.348e+09;1.296e+09;1.174e+09;1.193e+09;1.217e+09;1.256e+09;1.03e+09;1.054e+09;1.048e+09;1.078e+09;9.15e+08;8.56e+08;9.27e+08;8.88e+08;7.62e+08;7.24e+08;6.96e+08;6.81e+08;5.55e+08;5.78e+08;5.75e+08;5.45e+08;4.48e+08;0
应收账款;2.33e+08;9.093e+09;-5.57e+09;-5.474e+09;-8.02e+08;2.486e+09;1.697e+09;-4.04e+09;5.15e+08;7.24e+08;3.896e+09;-6.479e+09;5.35e+08;5.804e+09;7.51e+08;-6.546e+09;-1.087e+09;4.499e+09;-1.098e+09;-4.263e+09;-1.755e+09;4.514e+09;-6.68e+08;-3.273e+09;0
贷款;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
存货;1.693e+09;-3.241e+09;4.34e+08;-1.709e+09;-2.36e+08;-1.98e+08;-5.8e+08;-3.01e+08;4.5e+08;1.7e+08;-1.02e+08;-3.07e+08;3.54e+08;-1.13e+08;-1.72e+08;-2.46e+08;2.35e+08;2.93e+08;-3.58e+08;-6.7e+07;-4.52e+08;2.1e+08;-6.64e+08;3.31e+08;0
预付费用;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
应付款项;2.081e+09;-2.7808e+10;1.4588e+10;1.483e+10;1.65e+09;-9.322e+09;2.46e+09;1.1413e+10;-1.47e+08;-8.623e+09;-8.52e+08;8.663e+09;2.165e+09;-1.4431e+10;9.003e+09;8.469e+09;-1.56e+08;-1.0566e+10;8.191e+09;7.08e+09;-3.18e+08;-1.0567e+10;6.145e+09;2.017e+09;0
应付所得税;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
应计债务;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
