资产负债表;;;;;;;;;;;;;;;;;;;;;;;;;
日期;2018-06;2018-03;2017-12;2017-09;2017-06;2017-03;2016-12;2016-09;2016-06;2016-03;2015-12;2015-09;2015-06;2015-03;2014-12;2014-09;2014-06;2014-03;2013-12;2013-09;2013-06;2013-03;2012-12;2012-09;2012-06
存款额;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
联邦基金费用;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
衍生负债;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
应付款项;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
交易负债;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
短期借债;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
短期借贷;3.379e+09;2.055e+09;3.057e+09;5.157e+09;3.181e+09;5.037e+09;5.68e+08;1.487e+09;6.44e+08;2.113e+09;2.585e+09;2.543e+09;2.483e+09;4.728e+09;2.704e+09;9.275e+09;4.477e+09;8.559e+09;4.521e+09;3.976e+09;5.582e+09;4.736e+09;4.315e+09;2.029e+09;0
预提支出及负债;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
租赁资本;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
其他流动负债;1.309e+09;1.317e+09;1.32e+09;1.302e+09;1.301e+09;1.314e+09;1.316e+09;1.292e+09;1.292e+09;1.307e+09;1.309e+09;1.288e+09;1.295e+09;1.306e+09;1.308e+09;2.098e+09;2.104e+09;2.175e+09;1.321e+09;1.289e+09;1.286e+09;1.338e+09;1.343e+09;1.315e+09;0
长期负债总额;3.4383e+10;3.5413e+10;3.4922e+10;3.3961e+10;3.4583e+10;3.6901e+10;3.7865e+10;3.9036e+10;3.82e+10;3.7381e+10;3.79e+10;3.8062e+10;3.8626e+10;4.0138e+10;3.0922e+10;3.0657e+10;3.1574e+10;3.6015e+10;3.8012e+10;4.0785e+10;4.0974e+10;3.4369e+10;3.4764e+10;3.4971e+10;0
长期负债;1.9959e+10;2.1501e+10;2.1353e+10;2.1838e+10;2.1706e+10;2.3437e+10;2.4274e+10;2.3656e+10;2.3642e+10;2.3656e+10;2.3929e+10;2.4124e+10;2.4069e+10;2.5506e+10;1.8699e+10;1.8566e+10;1.859e+10;1.9589e+10;2.0539e+10;2.2647e+10;2.2526e+10;1.6089e+10;1.6254e+10;1.7571e+10;0
递延税金;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
少数股东权益;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
递延所得税负债;2.159e+09;2.206e+09;2.219e+09;4.159e+09;4.56e+09;4.889e+09;5.077e+09;6.374e+09;6.091e+09;6.256e+09;6.535e+09;5.959e+09;6.454e+09;6.803e+09;4.266e+09;4.987e+09;4.651e+09;5.881e+09;6.776e+09;1.5551e+10;1.5843e+10;1.5703e+10;1.6067e+10;1.4935e+10;0
递延收入;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
其他长期负债;1.2028e+10;1.1473e+10;1.1117e+10;7.713e+09;8.068e+09;8.324e+09;8.294e+09;8.793e+09;8.378e+09;7.374e+09;7.345e+09;7.887e+09;7.913e+09;7.677e+09;7.813e+09;6.968e+09;8.175e+09;7.956e+09;8.136e+09;0;0;0;0;0;0
其他负债;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
股东权益总计;3.2529e+10;3.3668e+10;3.4336e+10;3.8248e+10;3.9463e+10;3.9837e+10;4.0088e+10;4.3744e+10;4.3357e+10;4.3806e+10;4.4676e+10;4.5587e+10;4.6448e+10;4.7765e+10;4.8647e+10;4.5224e+10;4.8358e+10;4.9975e+10;4.9765e+10;4.7419e+10;4.75e+10;5.3029e+10;5.302e+10;5.5747e+10;5.5194e+10
资本公积;3.9741e+10;3.9874e+10;3.9902e+10;3.9823e+10;3.9776e+10;3.9899e+10;3.9939e+10;3.9897e+10;3.9911e+10;4.0145e+10;4.0222e+10;4.0139e+10;4.0114e+10;4.0355e+10;4.0423e+10;4.034e+10;4.0199e+10;4.045e+10;4.0508e+10;3.9909e+10;3.9891e+10;4.0727e+10;4.0646e+10;4.0471e+10;0
优先股;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
普通股;1.788e+09;1.788e+09;1.788e+09;1.788e+09;1.788e+09;1.788e+09;1.788e+09;1.788e+09;1.788e+09;1.788e+09;1.788e+09;1.788e+09;1.788e+09;1.788e+09;1.788e+09;1.788e+09;1.788e+09;1.788e+09;1.788e+09;1.788e+09;1.788e+09;1.788e+09;1.788e+09;1.788e+09;0
留存收益;4.1523e+10;4.1107e+10;4.135e+10;4.3701e+10;4.5046e+10;4.4387e+10;4.4133e+10;4.6028e+10;4.5121e+10;4.5192e+10;4.5348e+10;4.566e+10;4.5103e+10;4.5692e+10;4.6021e+10;3.9989e+10;4.0366e+10;3.9661e+10;3.9257e+10;3.9773e+10;3.9915e+10;4.0272e+10;3.9985e+10;4.039e+10;0
库存股份;-4.5401e+10;-4.4041e+10;-4.3794e+10;-4.2119e+10;-4.2053e+10;-4.1157e+10;-4.0546e+10;-3.9717e+10;-3.9377e+10;-3.9125e+10;-3.8534e+10;-3.7427e+10;-3.6225e+10;-3.5903e+10;-3.5262e+10;-3.3895e+10;-3.1551e+10;-2.9745e+10;-2.9591e+10;-2.9353e+10;-2.9334e+10;-2.5129e+10;-2.4717e+10;-2.3862e+10;0
累积其他综合收益;-5.122e+09;-5.06e+09;-4.91e+09;-4.945e+09;-5.094e+09;-5.08e+09;-5.226e+09;-4.252e+09;-4.086e+09;-4.194e+09;-4.148e+09;-4.573e+09;-4.332e+09;-4.167e+09;-4.323e+09;-2.998e+09;-2.444e+09;-2.179e+09;-2.197e+09;-4.698e+09;-4.76e+09;-4.629e+09;-4.682e+09;-3.04e+09;0
;;;;;;;;;;;;;;;;;;;;;;;;;
