资产负债表;;;;;;;;;;;;;;;;;;;;;;;;;
日期;2018-06;2018-03;2017-12;2017-09;2017-06;2017-03;2016-12;2016-09;2016-06;2016-03;2015-12;2015-09;2015-06;2015-03;2014-12;2014-09;2014-06;2014-03;2013-12;2013-09;2013-06;2013-03;2012-12;2012-09;2012-06
应付款项及应计费用;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
应付账款;4.196e+09;3.879e+09;4.656e+09;3.48e+09;3.439e+09;3.393e+09;4.536e+09;3.476e+09;3.261e+09;3.125e+09;3.62e+09;3.294e+09;2.93e+09;2.724e+09;3.44e+09;2.973e+09;2.99e+09;2.546e+09;3.234e+09;2.287e+09;1.978e+09;3.279e+09;4.264e+09;2.967e+09;0
应付税款;2.481e+09;1.614e+09;4.77e+08;1.003e+09;5.52e+08;7.9e+08;4.37e+08;1.158e+09;6.47e+08;9.2e+08;4.18e+08;1.178e+09;1.057e+09;9.44e+08;5.31e+08;8.92e+08;7.6e+08;8.51e+08;6.78e+08;8.02e+08;9.04e+08;1.158e+09;1.01e+09;1.788e+09;0
应计债务;0;0;0;0;0;0;0;2.048e+09;1.594e+09;1.725e+09;2.359e+09;2.155e+09;1.646e+09;1.679e+09;1.784e+09;1.841e+09;1.631e+09;1.758e+09;1.792e+09;1.2524e+10;1.43e+09;1.684e+09;2.046e+09;1.736e+09;0
存款额;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
联邦基金费用;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
衍生负债;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
应付款项;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
交易负债;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
短期借债;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
短期借贷;1.1583e+10;9.011e+09;9.954e+09;9.448e+09;9.514e+09;7.68e+09;1.0688e+10;1.3633e+10;1.3724e+10;1.1546e+10;1.016e+10;9.818e+09;8.394e+09;6.555e+09;5.141e+09;5.389e+09;5.561e+09;9.319e+09;6.027e+09;4.738e+09;5.214e+09;8.896e+09;6.424e+09;7.774e+09;0
预提支出及负债;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
租赁资本;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
其他流动负债;1.3896e+10;1.2861e+10;1.534e+10;1.4286e+10;1.3677e+10;1.3001e+10;1.5454e+10;1.4444e+10;1.2873e+10;1.1419e+10;1.2842e+10;1.14e+10;1.0116e+10;8.32e+09;1.0735e+10;8.825e+09;1.0996e+10;1.0316e+10;1.1635e+10;2.2e+07;1.3924e+10;1.2526e+10;1.4875e+10;1.4866e+10;0
长期负债总额;6.3046e+10;6.7064e+10;7.0062e+10;8.3164e+10;8.3008e+10;8.5485e+10;8.066e+10;8.0365e+10;7.579e+10;7.1126e+10;7.3341e+10;7.6184e+10;6.9841e+10;7.3114e+10;7.6342e+10;7.3454e+10;7.4041e+10;6.9249e+10;7.2428e+10;7.7179e+10;7.7338e+10;7.7605e+10;7.5919e+10;7.1769e+10;0
长期负债;2.8935e+10;3.1831e+10;3.3538e+10;3.4503e+10;3.4191e+10;3.633e+10;3.1398e+10;3.0437e+10;3.0457e+10;2.7824e+10;2.8818e+10;2.9079e+10;2.6729e+10;2.937e+10;3.1541e+10;3.1666e+10;3.2267e+10;2.7649e+10;3.0462e+10;3.1812e+10;3.1532e+10;3.1481e+10;3.1036e+10;3.1083e+10;0
递延税金;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
少数股东权益;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
递延所得税负债;5.743e+09;5.967e+09;3.9e+09;3.0411e+10;3.0879e+10;3.0857e+10;3.0753e+10;3.1687e+10;2.83e+10;2.6547e+10;2.6877e+10;2.8654e+10;2.4659e+10;2.4474e+10;2.4981e+10;2.632e+10;2.6309e+10;2.5923e+10;2.559e+10;2.2432e+10;2.2338e+10;2.2445e+10;2.1593e+10;1.9133e+10;0
递延收入;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
其他长期负债;2.1543e+10;2.2249e+10;2.4846e+10;1.0692e+10;1.0536e+10;1.0945e+10;1.0041e+10;1.6139e+10;1.4859e+10;1.4496e+10;9.249e+09;9.44e+09;9.669e+09;9.936e+09;1.712e+10;1.256e+10;1.2521e+10;8.2e+09;8.76e+09;1.1539e+10;1.205e+10;1.1899e+10;1.1549e+10;1.1272e+10;0
其他负债;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
股东权益总计;6.9778e+10;7.0184e+10;7.1308e+10;6.077e+10;5.8368e+10;5.8435e+10;5.9544e+10;6.3306e+10;6.2769e+10;6.3068e+10;6.472e+10;6.6838e+10;6.6894e+10;6.7304e+10;7.1301e+10;7.7988e+10;7.6633e+10;7.7769e+10;7.6307e+10;7.7969e+10;7.8547e+10;8.225e+10;8.126e+10;8.1703e+10;7.9547e+10
资本公积;8.4898e+10;8.4599e+10;8.4278e+10;8.3827e+10;8.3373e+10;8.3111e+10;8.2685e+10;8.2534e+10;8.2138e+10;8.1443e+10;8.1016e+10;8.0763e+10;8.0407e+10;8.0004e+10;7.8977e+10;7.8498e+10;7.8208e+10;7.7849e+10;7.7283e+10;7.6756e+10;7.6412e+10;7.5778e+10;7.2608e+10;7.2317e+10;0
优先股;2e+07;2.1e+07;2.1e+07;2.2e+07;2.3e+07;2.3e+07;2.4e+07;2.5e+07;2.5e+07;2.6e+07;2.6e+07;2.7e+07;2.8e+07;2.8e+07;2.9e+07;3e+07;3.1e+07;3.2e+07;3.3e+07;3.5e+07;3.6e+07;3.8e+07;3.9e+07;4.1e+07;0
普通股;4.65e+08;4.65e+08;4.64e+08;4.63e+08;4.63e+08;4.63e+08;4.61e+08;4.61e+08;4.61e+08;4.6e+08;4.59e+08;4.59e+08;4.58e+08;4.58e+08;4.55e+08;4.55e+08;4.54e+08;4.54e+08;4.53e+08;0;4.51e+08;4.5e+08;4.48e+08;4.47e+08;0
留存收益;8.986e+10;8.9961e+10;8.5291e+10;7.5043e+10;7.4107e+10;7.4847e+10;7.1774e+10;7.2846e+10;7.335e+10;7.4971e+10;7.1993e+10;7.4019e+10;7.362e+10;7.4471e+10;7.2177e+10;7.4292e+10;7.1627e+10;7.2028e+10;6.9732e+10;7.0381e+10;6.7628e+10;5.6972e+10;5.424e+10;5.1256e+10;0
库存股份;-9.5463e+10;-9.546e+10;-8.9425e+10;-8.9421e+10;-8.9416e+10;-8.9414e+10;-8.4364e+10;-8.4346e+10;-8.4313e+10;-8.4313e+10;-7.9252e+10;-7.9259e+10;-7.9098e+10;-7.91e+10;-7.3021e+10;-7.182e+10;-7.0535e+10;-6.9204e+10;-6.7923e+10;-6.3272e+10;-5.9515e+10;-4.4832e+10;-4.0121e+10;-3.6703e+10;0
累积其他综合收益;-1.0002e+10;-9.402e+09;-9.321e+09;-9.164e+09;-1.0182e+10;-1.0595e+10;-1.1036e+10;-8.214e+09;-8.892e+09;-9.519e+09;-9.522e+09;-9.171e+09;-8.521e+09;-8.557e+09;-7.316e+09;-3.467e+09;-3.152e+09;-3.39e+09;-3.271e+09;-5.931e+09;-6.465e+09;-6.156e+09;-5.954e+09;-5.655e+09;0
;;;;;;;;;;;;;;;;;;;;;;;;;
现金流量表;;;;;;;;;;;;;;;;;;;;;;;;;
经营活动带来的净现金流;3.847e+09;1.983e+09;6.742e+09;4.887e+09;3.252e+09;1.589e+09;5.972e+09;4.699e+09;3.579e+09;1.651e+09;4.713e+09;5.024e+09;4.09e+09;6.85e+08;5.398e+09;4.463e+09;4.087e+09;2.935e+09;5.786e+09;5.908e+09;3.83e+09;2.241e+09;5.256e+09;5.003e+09;0
净利润;3.879e+09;3.57e+09;1.2289e+10;2.858e+09;3.078e+09;3.13e+09;8.66e+08;1.319e+09;2.035e+09;3.026e+09;-1.69e+08;2.138e+09;2.636e+09;2.381e+09;1.236e+09;2.673e+09;2.921e+09;2.338e+09;2.574e+09;2.599e+09;1.4134e+10;2.765e+09;6.321e+09;3.214e+09;0
信用损失计提;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
折旧与摊销;1.562e+09;1.567e+09;1.574e+09;1.566e+09;1.574e+09;1.555e+09;1.549e+09;1.396e+09;1.387e+09;1.425e+09;1.424e+09;1.272e+09;1.201e+09;1.26e+09;1.331e+09;1.326e+09;1.424e+09;1.456e+09;1.592e+09;1.521e+09;1.523e+09;1.774e+09;1.895e+09;1.714e+09;0
递延所得税费用(收益);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
投资损失（收益）;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
投资/资产减损支出;3.4e+07;7e+06;3.08e+08;2.29e+08;6.2e+07;3.5e+07;7.57e+08;0;0;0;0;0;0;0;0;0;0;0;0;0;1.35e+08;5.13e+08;4.34e+08;0;0
债务和发行成本摊销;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
业务处置利得（损失）;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
股权补偿;1.97e+08;1.82e+08;2.45e+08;2.07e+08;1.7e+08;2.18e+08;1.59e+08;1.45e+08;2.44e+08;1.43e+08;1.81e+08;1.41e+08;1.85e+08;1.62e+08;1.62e+08;1.43e+08;1.38e+08;1.43e+08;1.05e+08;1.26e+08;1.03e+08;1.89e+08;1.19e+08;1.15e+08;0
应收账款;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
贷款;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
存货;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
预付费用;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
应付款项;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
应付所得税;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
应计债务;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
其他营运资金;-5.35e+08;-2.715e+09;4.94e+09;2.09e+08;-1.628e+09;-2.225e+09;1.803e+09;1.598e+09;-1.055e+09;-2.261e+09;1.852e+09;5.85e+08;5e+06;-1.878e+09;2.942e+09;4.3e+08;-8.58e+08;-1.091e+09;9.2e+08;9.62e+08;-1.881e+09;-3.393e+09;1.568e+09;-4.75e+08;0
其他非现金项目;-4.96e+08;-9.22e+08;-9.963e+09;-1.03e+08;-2.86e+08;-1.162e+09;2.03e+08;1.566e+09;7.74e+08;-4.78e+08;1.278e+09;8.7e+08;2.05e+08;-1.199e+09;1.76e+08;-2.4e+07;-4.4e+07;-2.56e+08;5.36e+08;2.91e+08;-1.0492e+10;-5.34e+08;-7.159e+09;2.09e+08;0
其他资产与负债;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
其他经营活动;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
投资活动带来的净现金流;-1.474e+09;9.667e+09;-4.779e+09;-2.996e+09;-1.738e+09;4.772e+09;-3.107e+09;-4.381e+09;-4.678e+09;4.355e+09;-2.224e+09;-5.243e+09;-2.105e+09;6.592e+09;-1.514e+09;-2.535e+09;-1.507e+09;-9.8e+07;8e+07;-6.11e+08;8.36e+08;-1.093e+10;6.837e+09;-2.47e+08;0
固定资产投资;-4.24e+08;-3.86e+08;-7e+08;-4.5e+08;-4.48e+08;-3.58e+08;-6.89e+08;-4.32e+08;-4.01e+08;-3.01e+08;-6.11e+08;-2.89e+08;-2.58e+08;-2.39e+08;-3.54e+08;-2.75e+08;-2.78e+08;-2.92e+08;-4.17e+08;-2.78e+08;-3.09e+08;-2.02e+08;-4.94e+08;0;0
收购;0;0;0;0;-4.15e+08;-5.85e+08;-6.89e+08;-1.3063e+10;-4.506e+09;-1.1e+08;-1.44e+08;-1.5643e+10;-1e+06;-6.78e+08;0;-1.95e+08;0;0;0;0;-1.5e+07;0;1.1582e+10;0;0
并购和处置;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
财产和设备;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
购买投资资产;-2.674e+09;-1.518e+09;-9.138e+09;-4.938e+09;-2.616e+09;-1.441e+09;-8.245e+09;-8.071e+09;-7.073e+09;-4.797e+09;-1.0477e+10;-6.195e+09;-1.0755e+10;-1.0696e+10;-1.6124e+10;-1.914e+10;-1.5879e+10;-1.0529e+10;-1.1108e+10;-1.5376e+10;-1.4309e+10;-1.2988e+10;-1.1882e+10;-1.0569e+10;0
债务/销售投资;1.543e+09;1.1546e+10;5.001e+09;2.475e+09;1.624e+09;6.859e+09;6.605e+09;1.0416e+10;8.12e+09;9.064e+09;8.849e+09;1.437e+10;1.1135e+10;1.2639e+10;1.5999e+10;1.3778e+10;1.4719e+10;9.023e+09;1.3731e+10;1.7255e+10;9.866e+09;7.83e+09;9.017e+09;9.072e+09;0
购买无形资产;0;0;-7.3e+07;-1.47e+08;0;0;-8e+07;0;-9.6e+07;0;-5.1e+07;-3.6e+07;-5e+06;-7e+06;-4.2e+07;-2.86e+08;-5e+07;-6e+06;0;0;0;0;0;0;0
其他投资活动;8.1e+07;2.5e+07;1.31e+08;6.4e+07;1.17e+08;2.97e+08;-9e+06;6.769e+09;-7.22e+08;4.99e+08;2.1e+08;2.55e+09;-2.221e+09;5.573e+09;-9.93e+08;3.583e+09;-1.9e+07;1.706e+09;-2.126e+09;-2.212e+09;5.603e+09;-5.57e+09;-1.386e+09;1.535e+09;0
融资活动带来的净现金流;-1.908e+09;-1.072e+10;-3.385e+09;-1.728e+09;-3.001e+09;-4.921e+09;-2.228e+09;-1.624e+09;1.944e+09;-7.013e+09;-1.109e+09;-2.67e+08;-1.875e+09;-6.982e+09;-2.926e+09;-2.887e+09;-2.04e+09;-2.133e+09;-5.744e+09;-5.631e+09;-4.034e+09;4.34e+08;-6.233e+09;0;0
融资活动带来的现金流;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
长期债券发行;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
长期债券偿还;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
债券发行;1.318e+09;4.28e+08;9.07e+08;2.498e+09;2.506e+09;7.827e+09;7.02e+09;4.09e+09;6.656e+09;6.82e+08;3.535e+09;0;2.4e+07;1.998e+09;5e+06;7e+06;4.492e+09;0;6e+08;1.389e+09;6.328e+09;2.624e+09;2.295e+09;1.936e+09;0
债券偿还;-1.002e+09;-2.931e+09;-2.578e+09;-2.582e+09;-3.687e+09;-5.896e+09;-7.274e+09;-1.03e+09;-3.722e+09;-2.886e+09;-3.95e+09;-6e+06;-1e+07;-3.002e+09;-1.325e+09;-3e+07;-4e+06;-7.55e+08;-2.208e+09;-1.445e+09;-4.725e+09;-2e+06;-1.499e+09;-8e+06;0
普通股发行;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
普通股回购;0;-6.063e+09;0;0;0;-5e+09;0;0;0;-5e+09;0;-1.6e+08;0;-6e+09;-1.199e+09;-1.281e+09;-1.323e+09;-1.197e+09;-4.647e+09;-3.754e+09;-3.263e+09;-4.626e+09;-3.394e+09;-1.835e+09;0
库存股回购;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
短期借款变化;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
股息支付;-1.989e+09;-2.032e+09;-1.909e+09;-1.895e+09;-1.91e+09;-1.945e+09;-1.821e+09;-1.821e+09;-1.821e+09;-1.854e+09;-1.729e+09;-1.728e+09;-1.725e+09;-1.758e+09;-1.639e+09;-1.65e+09;-1.658e+09;-1.662e+09;-1.554e+09;-1.59e+09;-1.701e+09;-1.735e+09;-1.619e+09;-1.632e+09;0
其他金融活动;-2.35e+08;-1.22e+08;1.95e+08;2.51e+08;9e+07;9.3e+07;-1.53e+08;-2.863e+09;8.31e+08;2.045e+09;1.035e+09;1.627e+09;-1.64e+08;1.78e+09;1.232e+09;6.7e+07;-3.547e+09;1.481e+09;2.065e+09;-2.31e+08;-6.73e+08;4.173e+09;-2.016e+09;-1.752e+09;0
汇率变动的影响;-7e+07;5.5e+07;-1.4e+07;3e+07;1.6e+07;2.1e+07;-1.36e+08;1.47e+08;5e+06;-7.3e+07;-8.38e+08;-8.4e+07;-3e+06;-7.5e+07;-5.3e+07;-9e+06;4e+06;-2.5e+07;9e+06;-5e+07;-2.2e+07;0;2.3e+07;1e+07;0
