资产负债表;;;;;;;;;;;;;;;;;;;;;;;
日期;2018-06;2018-03;2017-12;2017-09;2017-06;2017-03;2016-12;2016-09;2016-06;2016-03;2015-12;2015-09;2015-06;2015-03;2014-12;2014-09;2014-06;2014-03;2013-12;2013-09;2013-06;2013-03;2012-12
应付账款;3.369e+09;3.526e+09;3.137e+09;2.674e+09;2.488e+09;2.306e+09;2.041e+09;2.175e+09;1.716e+09;1.667e+09;1.931e+09;1.549e+09;1.315e+09;1.688e+09;1.715e+09;1.368e+09;1.345e+09;1.623e+09;2.453e+09;2.124e+09;1.758e+09;2.094e+09;2.012e+09
应付税款;1.189e+09;1.343e+09;8.81e+08;2.21e+08;1.33e+08;8.03e+08;5.54e+08;1.71e+08;1.85e+08;3.3e+08;3.02e+08;2.15e+08;9.48e+08;1.23e+08;9.6e+07;0;0;0;2.4e+07;0;0;0;2.4e+08
应计债务;5.173e+09;5.18e+09;5.464e+09;4.462e+09;4.138e+09;4.061e+09;1.3062e+10;1.1054e+10;1.0256e+10;9.362e+09;1.0636e+10;9.485e+09;8.685e+09;8.16e+09;9.455e+09;8.122e+09;7.471e+09;6.51e+09;7.986e+09;6.542e+09;6.561e+09;5.889e+09;6.968e+09
存款额;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
联邦基金费用;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
衍生负债;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
应付款项;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
交易负债;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
短期借债;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
短期借贷;0;1.329e+09;0;0;0;0;0;0;2.219e+09;3.221e+09;3.225e+09;3.237e+09;3.008e+09;2.009e+09;2.009e+09;2.009e+09;2.009e+09;3.009e+09;3.009e+09;3.009e+09;3e+09;2.15e+09;2.549e+09
预提支出及负债;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
租赁资本;3.4e+07;2.9e+07;2.6e+07;2.3e+07;1.6e+07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
其他流动负债;1.8458e+10;1.242e+10;1.3269e+10;1.2067e+10;1.07e+10;6.938e+09;0;0;2.065e+09;2.171e+09;2.428e+09;3.266e+09;2.694e+09;1.657e+09;2.778e+09;5.601e+09;5.39e+09;4.181e+09;1.374e+09;1.893e+09;3.211e+09;2.237e+09;1.673e+09
长期负债总额;1.9707e+10;2.0716e+10;2.061e+10;1.1743e+10;1.165e+10;1.2551e+10;0;1.1522e+10;9.072e+09;8.494e+09;7.82e+09;9.583e+09;9.662e+09;1.0616e+10;9.828e+09;9.046e+09;8.762e+09;8.545e+09;7.703e+09;7.604e+09;7.001e+09;7.967e+09;7.746e+09
长期负债;3.947e+09;3.944e+09;3.943e+09;3.941e+09;3.939e+09;3.937e+09;3.935e+09;3.938e+09;1.984e+09;1.987e+09;1.995e+09;1.994e+09;2.225e+09;3.226e+09;3.228e+09;3.23e+09;3.232e+09;3.234e+09;2.236e+09;2.238e+09;1.989e+09;2.989e+09;2.988e+09
递延税金;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
少数股东权益;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
递延所得税负债;4.79e+08;3.94e+08;4.3e+08;1.51e+08;3.69e+08;6.04e+08;2.26e+08;3.93e+08;6.51e+08;5.99e+08;1.89e+08;1.976e+09;1.754e+09;1.845e+09;1.971e+09;1.554e+09;1.625e+09;1.848e+09;1.947e+09;2.097e+09;1.905e+09;1.978e+09;1.872e+09
