资产负债表;;;;;;;;;;;;;;;;;;;;;;;;;
日期;2018-06;2018-03;2017-12;2017-09;2017-06;2017-03;2016-12;2016-09;2016-06;2016-03;2015-12;2015-09;2015-06;2015-03;2014-12;2014-09;2014-06;2014-03;2013-12;2013-09;2013-06;2013-03;2012-12;2012-09;2012-06
联邦基金费用;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
衍生负债;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
应付款项;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
交易负债;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
短期借债;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
短期借贷;1.8738e+10;1.9155e+10;1.6503e+10;1.6629e+10;1.7833e+10;1.5911e+10;1.6025e+10;1.5561e+10;1.8796e+10;1.9844e+10;1.5806e+10;2.0237e+10;1.8337e+10;1.6423e+10;2.2682e+10;2.1699e+10;2.16e+10;1.9801e+10;1.7925e+10;2.2034e+10;2.1507e+10;2.0827e+10;1.7874e+10;1.6549e+10;0
预提支出及负债;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
租赁资本;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
其他流动负债;1.456e+09;1.528e+09;2.387e+09;4.37e+08;2.83e+08;2.226e+09;1.567e+09;1.1835e+10;1.0373e+10;1.0868e+10;1.133e+09;1.0925e+10;1.0078e+10;9.011e+09;5.8e+07;1.0533e+10;1.0575e+10;9.959e+09;0;1.059e+10;1.0515e+10;9.893e+09;7.96e+08;9.803e+09;0
长期负债总额;3.9872e+10;4.2192e+10;4.363e+10;4.0763e+10;4.0315e+10;3.9669e+10;3.7518e+10;4.0059e+10;3.7913e+10;3.5362e+10;3.7609e+10;3.5414e+10;3.6268e+10;3.6056e+10;2.9329e+10;3.0125e+10;2.8789e+10;2.8579e+10;2.9071e+10;2.4258e+10;2.4819e+10;2.4868e+10;2.5563e+10;2.6436e+10;0
长期负债;2.8063e+10;2.9792e+10;3.1182e+10;3.2471e+10;3.1805e+10;3.1538e+10;2.9684e+10;3.1663e+10;2.9252e+10;2.699e+10;2.8407e+10;2.5949e+10;2.5977e+10;2.6087e+10;1.9063e+10;2.0111e+10;1.8643e+10;1.864e+10;1.9154e+10;1.4173e+10;1.4179e+10;1.4291e+10;1.4736e+10;1.6181e+10;0
递延税金;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
少数股东权益;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
递延所得税负债;2.589e+09;2.314e+09;2.522e+09;4.313e+09;4.33e+09;3.899e+09;3.753e+09;4.243e+09;4.497e+09;4.337e+09;4.691e+09;5.053e+09;5.785e+09;5.432e+09;5.636e+09;6.391e+09;6.469e+09;6.257e+09;6.152e+09;5.307e+09;5.298e+09;5.214e+09;4.981e+09;5.197e+09;0
递延收入;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
其他长期负债;7.367e+09;8.079e+09;8.021e+09;3.946e+09;4.092e+09;4.041e+09;3.923e+09;3.984e+09;3.963e+09;3.82e+09;4.301e+09;4.194e+09;4.283e+09;4.296e+09;4.389e+09;3.383e+09;3.447e+09;3.414e+09;3.498e+09;4.445e+09;4.934e+09;4.949e+09;5.468e+09;4.678e+09;0
其他负债;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
股东权益总计;1.8323e+10;1.961e+10;1.7072e+10;2.2119e+10;2.2001e+10;2.2876e+10;2.3062e+10;2.6076e+10;2.6637e+10;2.4914e+10;2.5554e+10;2.6049e+10;2.8418e+10;2.8837e+10;3.032e+10;3.3429e+10;3.4071e+10;3.2654e+10;3.3173e+10;3.2132e+10;3.2223e+10;3.248e+10;3.279e+10;3.321e+10;3.2269e+10
资本公积;1.6117e+10;1.6006e+10;1.5864e+10;1.5699e+10;1.5473e+10;1.5197e+10;1.4993e+10;1.4882e+10;1.471e+10;1.4507e+10;1.4016e+10;1.3715e+10;1.3486e+10;1.3361e+10;1.3154e+10;1.2901e+10;1.2675e+10;1.2332e+10;1.2276e+10;1.2122e+10;1.199e+10;1.1664e+10;1.1379e+10;1.128e+10;0
优先股;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
普通股;1.76e+09;1.76e+09;1.76e+09;1.76e+09;1.76e+09;1.76e+09;1.76e+09;1.76e+09;1.76e+09;1.76e+09;1.76e+09;1.76e+09;1.76e+09;1.76e+09;1.76e+09;1.76e+09;1.76e+09;1.76e+09;1.76e+09;1.76e+09;1.76e+09;1.76e+09;1.76e+09;1.76e+09;0
留存收益;6.3808e+10;6.315e+10;6.043e+10;6.4759e+10;6.489e+10;6.5099e+10;6.5502e+10;6.6457e+10;6.6921e+10;6.4985e+10;6.5018e+10;6.5209e+10;6.5196e+10;6.3524e+10;6.3408e+10;6.3972e+10;6.3194e+10;6.1937e+10;6.166e+10;6.1187e+10;5.9978e+10;5.8549e+10;5.8045e+10;5.732e+10;0
库存股份;-5.1588e+10;-5.1268e+10;-5.0677e+10;-5.0256e+10;-4.9633e+10;-4.8974e+10;-4.7988e+10;-4.6814e+10;-4.6601e+10;-4.5549e+10;-4.5066e+10;-4.3822e+10;-4.3288e+10;-4.2739e+10;-4.2225e+10;-4.1361e+10;-4.0572e+10;-3.9781e+10;-3.9091e+10;-3.8238e+10;-3.7422e+10;-3.6282e+10;-3.5009e+10;-3.4209e+10;0
累积其他综合收益;-1.1774e+10;-1.0038e+10;-1.0305e+10;-9.843e+09;-1.0489e+10;-1.0206e+10;-1.1205e+10;-1.0209e+10;-1.0153e+10;-1.0789e+10;-1.0174e+10;-1.0813e+10;-8.736e+09;-7.069e+09;-5.777e+09;-3.843e+09;-2.986e+09;-3.594e+09;-3.432e+09;-4.699e+09;-4.083e+09;-3.211e+09;-3.385e+09;-2.941e+09;0
;;;;;;;;;;;;;;;;;;;;;;;;;
现金流量表;;;;;;;;;;;;;;;;;;;;;;;;;
经营活动带来的净现金流;2.027e+09;6.59e+08;1.188e+09;2.527e+09;2.603e+09;7.88e+08;2.073e+09;2.903e+09;3.216e+09;6.04e+08;2.138e+09;3.272e+09;3.544e+09;1.574e+09;2.636e+09;3.509e+09;3.404e+09;1.066e+09;2.83e+09;3.756e+09;3.478e+09;4.78e+08;2.805e+09;3.662e+09;0
净利润;2.289e+09;1.327e+09;-2.818e+09;1.444e+09;1.372e+09;1.184e+09;5.47e+08;1.05e+09;3.46e+09;1.493e+09;1.236e+09;1.453e+09;3.111e+09;1.566e+09;7.71e+08;2.122e+09;2.605e+09;1.626e+09;1.708e+09;2.455e+09;2.694e+09;1.769e+09;1.89e+09;2.329e+09;0
信用损失计提;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
折旧与摊销;2.83e+08;2.7e+08;3.34e+08;2.97e+08;3.01e+08;3.28e+08;4.64e+08;4.2e+08;4.45e+08;4.58e+08;5.27e+08;4.82e+08;4.88e+08;4.73e+08;4.99e+08;5.1e+08;4.94e+08;4.73e+08;5.33e+08;4.97e+08;4.74e+08;4.73e+08;5.13e+08;5.14e+08;0
递延所得税费用(收益);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
投资损失（收益）;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
投资/资产减损支出;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
债务和发行成本摊销;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
业务处置利得（损失）;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
股权补偿;4.9e+07;7.2e+07;5.2e+07;5.3e+07;5.9e+07;5.5e+07;6.7e+07;7.2e+07;5e+07;6.9e+07;6.5e+07;5.4e+07;5.7e+07;6e+07;6.6e+07;3.1e+07;7.3e+07;3.9e+07;7.2e+07;6.3e+07;4.5e+07;4.7e+07;5e+06;8.8e+07;0
应收账款;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
贷款;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
存货;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
预付费用;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
应付款项;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
应付所得税;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
应计债务;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
其他营运资金;-8.49e+08;-1.312e+09;4.924e+09;2.4e+07;9.1e+07;-1.51e+09;6.87e+08;2.86e+08;4.86e+08;-1.68e+09;1.89e+08;6.18e+08;2.25e+08;-1.189e+09;6.2e+07;6.74e+08;2.55e+08;-1.43e+09;-2.8e+08;1.103e+09;4.29e+08;-2.184e+09;-2.38e+08;8.21e+08;0
其他非现金项目;5.1e+07;5.01e+08;5.58e+08;7.23e+08;1.26e+08;7.65e+08;1.066e+09;9.95e+08;-1.128e+09;3.45e+08;2.6e+08;1.096e+09;-9.72e+08;6.56e+08;1.099e+09;2.84e+08;5.7e+07;3.45e+08;3.28e+08;-4.41e+08;-1.07e+08;2.16e+08;1.59e+08;-1.93e+08;0
其他资产与负债;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
其他经营活动;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
投资活动带来的净现金流;9.57e+08;1.297e+09;-2.694e+09;1.468e+09;-2.263e+09;1.039e+09;3.34e+08;-3.96e+08;-1.285e+09;3.48e+08;-7.73e+08;-1.657e+09;-2.944e+09;-8.12e+08;-9.48e+08;-3.43e+09;-9.15e+08;-2.213e+09;-1.231e+09;-2.75e+08;-1.49e+09;-1.218e+09;-1.005e+09;-1.839e+09;0
固定资产投资;-3.38e+08;-2.74e+08;-4.81e+08;-3.62e+08;-3.9e+08;-4.42e+08;-7.01e+08;-4.76e+08;-5.49e+08;-5.36e+08;-8.83e+08;-5.56e+08;-5.98e+08;-5.16e+08;-7.88e+08;-5.88e+08;-5.81e+08;-4.49e+08;-9.25e+08;-5.56e+08;-5.71e+08;-4.98e+08;0;0;0
收购;2.66e+08;-1.8e+08;-2.331e+09;7.17e+08;4.42e+08;1.093e+09;2.19e+08;2.81e+08;9.4e+07;-3.97e+08;1.47e+08;-2.02e+08;-1.497e+09;-3.74e+08;2.9e+07;1.7e+07;-2.02e+08;-8.5e+07;-2.4e+07;1.61e+08;-2.8e+08;6.62e+08;1.652e+09;3.36e+08;0
并购和处置;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
财产和设备;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
购买投资资产;-2.164e+09;-2.669e+09;-3.595e+09;-2.878e+09;-6.496e+09;-3.551e+09;-2.766e+09;-3.688e+09;-4.282e+09;-4.763e+09;-3.825e+09;-5.025e+09;-2.978e+09;-4.003e+09;-3.702e+09;-6.203e+09;-3.526e+09;-4.369e+09;-3.331e+09;-4.374e+09;-3.571e+09;-3.506e+09;-4.62e+09;-3.15e+09;0
债务/销售投资;3.242e+09;4.379e+09;3.75e+09;3.824e+09;4.161e+09;4.176e+09;3.414e+09;3.692e+09;3.508e+09;6.01e+09;3.676e+09;4.087e+09;2.57e+09;3.746e+09;3.428e+09;3.366e+09;3.597e+09;2.595e+09;3.19e+09;4.377e+09;2.999e+09;2.225e+09;2.877e+09;1.653e+09;0
购买无形资产;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
其他投资活动;-6.8e+07;-2e+06;-6.9e+07;1.37e+08;-4e+06;-2.55e+08;1.1e+08;-2.56e+08;-6.8e+07;5e+06;7.7e+07;2.2e+07;-4.53e+08;3.14e+08;1.2e+07;-3.8e+07;-2.69e+08;2.7e+07;-1.88e+08;1.1e+08;-8.9e+07;-1.36e+08;-1.75e+08;-2.8e+07;0
融资活动带来的净现金流;-3.159e+09;3.24e+08;-4.948e+09;-3.296e+09;-7.38e+08;1.535e+09;-4.762e+09;-1e+09;-1.182e+09;3.99e+08;-3.935e+09;-4.8e+07;4.7e+07;-1.177e+09;-3.435e+09;-2.58e+08;-1.43e+08;2.05e+08;-2.362e+09;-1.519e+09;-1.299e+09;1.435e+09;-2.948e+09;0;0
融资活动带来的现金流;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
长期债券发行;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
长期债券偿还;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
债券发行;6.614e+09;9.576e+09;4.958e+09;6.313e+09;6.882e+09;1.1704e+10;4.614e+09;6.72e+09;7.417e+09;8.53e+09;6.136e+09;9.42e+09;8.505e+09;1.6373e+10;8.382e+09;1.2025e+10;1.0341e+10;1.0926e+10;1.2278e+10;8.368e+09;1.0194e+10;1.2585e+10;9.903e+09;1.0924e+10;0
债券偿还;-7.873e+09;-8.77e+09;-6.344e+09;-7.514e+09;-5.687e+09;-9.223e+09;-5.209e+09;-7.656e+09;-5.967e+09;-6.783e+09;-7.579e+09;-7.801e+09;-6.603e+09;-1.5755e+10;-8.468e+09;-1.0372e+10;-8.555e+09;-9.567e+09;-1.1421e+10;-7.839e+09;-9.389e+09;-1.0065e+10;-9.783e+09;-1.0689e+10;0
普通股发行;1.23e+08;4.77e+08;2.75e+08;4.03e+08;5.23e+08;3.94e+08;1.39e+08;1.87e+08;3.45e+08;7.63e+08;5.13e+08;3.22e+08;1.31e+08;2.79e+08;4.74e+08;4.08e+08;4.59e+08;1.91e+08;2.49e+08;1.28e+08;5.34e+08;4.17e+08;1.7e+08;3.24e+08;0
普通股回购;-3.9e+08;-9.27e+08;-5.95e+08;-8.9e+08;-8.93e+08;-1.304e+09;-1.172e+09;-3.53e+08;-1.417e+09;-7.39e+08;-1.598e+09;-6.68e+08;-6.44e+08;-6.54e+08;-1.199e+09;-1.01e+09;-1.078e+09;-8.75e+08;-9.4e+08;-9.14e+08;-1.455e+09;-1.523e+09;-9.4e+08;-1.009e+09;0
库存股回购;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
短期借款变化;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
