zichanfuzhai
,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

截止日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331
原始币种,日元,日元,日元,日元,日元,日元,日元,日元,日元,日元,日元,日元,日元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
累计其他全面收益(元),-614450000000.00,-616746000000.00,-575320000000.00,-590334000000.00,-607084000000.00,-,-644713000000.00,-763007000000.00,-730465000000.00,-652120000000.00,-437250000000.00,-451022000000.00,-402179000000.00
归属于母公司股东权益其他项目(元),-,-,-,-,-,-618769000000.00,-,-,-,-1198000000.00,-,-,-
归属于母公司股东权益(元),3223952000000.00,2967366000000.00,3039893000000.00,2725191000000.00,2591863000000.00,2497246000000.00,2452934000000.00,2310103000000.00,2408169000000.00,2463340000000.00,2779518000000.00,2644347000000.00,2384065000000.00
少数股东权益(元),648056000000.00,689001000000.00,689663000000.00,668291000000.00,653616000000.00,650234000000.00,634220000000.00,628819000000.00,666570000000.00,668548000000.00,649665000000.00,629130000000.00,622851000000.00
股东权益合计(元),3872008000000.00,3656367000000.00,3729556000000.00,3393482000000.00,3245479000000.00,3147480000000.00,3087154000000.00,2938922000000.00,3074739000000.00,3131888000000.00,3429183000000.00,3273477000000.00,3006916000000.00
负债及股东权益合计(元),19563341000000.00,19065538000000.00,19420676000000.00,18797106000000.00,18138219000000.00,17660556000000.00,17695074000000.00,16804371000000.00,16381745000000.00,16673390000000.00,17106723000000.00,16831178000000.00,16091366000000.00
公告日期,2018-07-31,2018-06-19,2018-02-02,2017-10-31,2017-08-01,2017-06-15,2017-02-02,2016-11-01,2016-07-29,2016-06-17,2016-01-29,2015-10-29,2015-07-30
会计准则,美国会计准则,美国会计准则,,,,,,,,,,,
审计意见,,,,,,,,,,,,,
核数师,,,,,,,,,,,,,

xianjinliuliang
,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

起始日期,2018-04-01,2017-04-01,2017-04-01,2017-04-01,2017-04-01,2016-04-01,2016-04-01,2016-04-01,2016-04-01,2015-04-01,2015-04-01,2015-04-01,2015-04-01
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331
原始币种,日元,日元,日元,日元,日元,日元,日元,日元,日元,日元,日元,日元,日元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
经营活动产生的现金流量：,,,,,,,,,,,,,
净利润(元),236864000000.00,547279000000.00,552097000000.00,237212000000.00,94398000000.00,127561000000.00,82832000000.00,53561000000.00,36541000000.00,209715000000.00,284830000000.00,147226000000.00,98898000000.00
折旧及摊销(元),144244000000.00,720718000000.00,259709000000.00,160142000000.00,162581000000.00,624553000000.00,450093000000.00,303897000000.00,61229000000.00,696678000000.00,475773000000.00,302724000000.00,150377000000.00
递延所得税(元),1215000000.00,24085000000.00,-4551000000.00,8160000000.00,9833000000.00,23798000000.00,4450000000.00,-12382000000.00,-266000000.00,211000000.00,12543000000.00,10421000000.00,5471000000.00
资产处置损益(元),-,-,-109351000000.00,-167000000.00,-39107000000.00,-,4706000000.00,41789000000.00,-72000000.00,-48857000000.00,-,-51572000000.00,-50706000000.00
投资损益(元),-,-,-,-,-,-,-,-,-,-,-55893000000.00,-,-
重估盈余(元),-,-,-,-,46000000.00,-,29000000.00,-,-,47474000000.00,-6667000000.00,49532000000.00,-17019000000.00
权益性投资损益(元),-,-2956000000.00,-2125000000.00,-1312000000.00,256000000.00,-,5770000000.00,5133000000.00,2533000000.00,5045000000.00,-,307000000.00,798000000.00
养老及退休福利(元),-1881000000.00,4113000000.00,3948000000.00,2583000000.00,2067000000.00,9297000000.00,-,7054000000.00,3449000000.00,-6383000000.00,-,-4794000000.00,-3035000000.00
经营业务调整其他项目(元),-152008000000.00,-39609000000.00,218056000000.00,95235000000.00,-26111000000.00,105072000000.00,129997000000.00,52441000000.00,161570000000.00,47171000000.00,-6744000000.00,-41399000000.00,-33454000000.00
存货的减少(增加)(元),-7206000000.00,-51508000000.00,-88954000000.00,-272386000000.00,-83354000000.00,11199000000.00,-18622000000.00,-256549000000.00,-75044000000.00,-57804000000.00,-91742000000.00,-298961000000.00,-103603000000.00
预付款项及其他应收款减少(增加)(元),-23352000000.00,-86779000000.00,-129975000000.00,-43394000000.00,-21617000000.00,-93234000000.00,-70070000000.00,-43691000000.00,-20528000000.00,-83774000000.00,-67354000000.00,-45273000000.00,-21790000000.00
待摊费用及其他资产(元),-34211000000.00,3776000000.00,-25633000000.00,-125652000000.00,-54957000000.00,-21402000000.00,-46705000000.00,-87477000000.00,-78376000000.00,-2308000000.00,-57444000000.00,-79972000000.00,-68393000000.00
应收账款及票据减少(增加)(元),-46041000000.00,-80004000000.00,-488285000000.00,-197747000000.00,-68488000000.00,-37529000000.00,-372978000000.00,-154618000000.00,-80709000000.00,-5828000000.00,-310954000000.00,-105253000000.00,-83030000000.00
应付账款及票据增加(减少)(元),109783000000.00,-87939000000.00,90484000000.00,309160000000.00,134162000000.00,-1386000000.00,87698000000.00,213623000000.00,76274000000.00,-49525000000.00,85718000000.00,262949000000.00,132276000000.00
应付税项(元),26307000000.00,29181000000.00,70983000000.00,49662000000.00,4021000000.00,26701000000.00,65951000000.00,38529000000.00,-,-,43932000000.00,4657000000.00,-
应计费用及其他负债(元),-162437000000.00,151805000000.00,189524000000.00,-,-92573000000.00,-,55453000000.00,-86249000000.00,-62884000000.00,-,9931000000.00,-,-147587000000.00
经营业务其他项目(元),5494000000.00,122810000000.00,124402000000.00,44808000000.00,29951000000.00,34632000000.00,-65352000000.00,6422000000.00,-7531000000.00,-2726000000.00,5582000000.00,-125051000000.00,-13493000000.00
经营活动产生的现金流量净额(元),96771000000.00,1254972000000.00,660329000000.00,266304000000.00,51108000000.00,809262000000.00,313252000000.00,81483000000.00,16186000000.00,749089000000.00,321511000000.00,25541000000.00,-154290000000.00
投资活动产生的现金流量：,,,,,,,,,,,,,
购买固定资产支付的现金(元),-73179000000.00,-262989000000.00,-189780000000.00,-130254000000.00,-56663000000.00,-333509000000.00,-260457000000.00,-205300000000.00,-106002000000.00,-375411000000.00,-254272000000.00,-161954000000.00,-77034000000.00
处置固定资产收到的现金(元),3923000000.00,60599000000.00,15095000000.00,6760000000.00,3257000000.00,13098000000.00,9134000000.00,6946000000.00,1829000000.00,26472000000.00,18369000000.00,10049000000.00,2484000000.00
购买无形资产及其他资产支付的现金(元),-271133000000.00,-977011000000.00,-688508000000.00,-472015000000.00,-260696000000.00,-1250498000000.00,-951840000000.00,-610664000000.00,-208314000000.00,-1241923000000.00,-961010000000.00,-713915000000.00,-320622000000.00
处置无形资产及其他资产收到的现金(元),64709000000.00,323755000000.00,262056000000.00,156780000000.00,94201000000.00,305979000000.00,227102000000.00,147387000000.00,90527000000.00,615607000000.00,545279000000.00,426093000000.00,228342000000.00
出售附属公司(元),-,44624000000.00,44624000000.00,18684000000.00,9378000000.00,3262000000.00,3262000000.00,3262000000.00,-,17790000000.00,17790000000.00,17790000000.00,17790000000.00
投资业务其他项目(元),78319000000.00,-11175000000.00,-10400000000.00,8258000000.00,17163000000.00,7695000000.00,-8715000000.00,-9271000000.00,2782000000.00,-72938000000.00,-35958000000.00,-35135000000.00,-22962000000.00
投资活动产生的现金流量净额(元),-197361000000.00,-822197000000.00,-566913000000.00,-411787000000.00,-193360000000.00,-1253973000000.00,-981514000000.00,-667640000000.00,-219178000000.00,-1030403000000.00,-669802000000.00,-457072000000.00,-172002000000.00
融资活动产生的现金流量：,,,,,,,,,,,,,
