zichanfuzhai
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

卡类收入(元),1909000000.00,908000000.00,3960000000.00,2964000000.00,1964000000.00,945000000.00,3936000000.00,2935000000.00,1938000000.00,941000000.00,3720000000.00,2754000000.00,1801000000.00,871000000.00
抵押贷款业务收入(元),1704000000.00,934000000.00,4350000000.00,3422000000.00,2376000000.00,1228000000.00,6096000000.00,4679000000.00,3725000000.00,1598000000.00,6501000000.00,4841000000.00,3252000000.00,1547000000.00
手续费及佣金收入(元),11340000000.00,5656000000.00,23163000000.00,17317000000.00,11555000000.00,5748000000.00,23342000000.00,17325000000.00,11416000000.00,5627000000.00,23960000000.00,18080000000.00,12076000000.00,5970000000.00
资产处置损益(元),1554000000.00,1027000000.00,2800000000.00,2072000000.00,1423000000.00,878000000.00,2655000000.00,2313000000.00,1652000000.00,688000000.00,3796000000.00,2928000000.00,1887000000.00,1056000000.00
保险收入(元),-,-,-,-,-,-,1268000000.00,1006000000.00,-,-,-,1267000000.00,891000000.00,430000000.00
减：贷款损失准备(元),643000000.00,191000000.00,2528000000.00,1877000000.00,1160000000.00,605000000.00,3770000000.00,2965000000.00,2160000000.00,1086000000.00,2442000000.00,1611000000.00,908000000.00,608000000.00
其他收入(元),2201000000.00,1171000000.00,4559000000.00,3063000000.00,2070000000.00,903000000.00,3216000000.00,3075000000.00,2226000000.00,1674000000.00,2779000000.00,888000000.00,433000000.00,418000000.00
营业支出(元),29024000000.00,14242000000.00,58484000000.00,41684000000.00,27333000000.00,13792000000.00,52377000000.00,39162000000.00,25894000000.00,13028000000.00,49974000000.00,37375000000.00,24976000000.00,12507000000.00
薪酬和福利(元),17081000000.00,8729000000.00,33371000000.00,25010000000.00,16822000000.00,8672000000.00,31893000000.00,24121000000.00,16154000000.00,8207000000.00,30681000000.00,23121000000.00,15661000000.00,8013000000.00
占用和设备费(元),2602000000.00,1330000000.00,5086000000.00,3763000000.00,2524000000.00,1289000000.00,5009000000.00,3657000000.00,2448000000.00,1239000000.00,4949000000.00,3584000000.00,2397000000.00,1217000000.00
联邦存款保险费(元),621000000.00,324000000.00,1287000000.00,975000000.00,661000000.00,333000000.00,1168000000.00,815000000.00,505000000.00,250000000.00,973000000.00,715000000.00,470000000.00,248000000.00
非利息支出其他项目(元),8720000000.00,3859000000.00,18740000000.00,11936000000.00,7326000000.00,3498000000.00,14307000000.00,10569000000.00,6787000000.00,3332000000.00,13371000000.00,9955000000.00,6448000000.00,3029000000.00
营业利润计算(元),14463000000.00,7692000000.00,29905000000.00,24413000000.00,16838000000.00,8210000000.00,35890000000.00,27523000000.00,18463000000.00,9167000000.00,36083000000.00,27096000000.00,17620000000.00,8771000000.00
持续经营税前利润(元),13820000000.00,7501000000.00,27377000000.00,22536000000.00,15678000000.00,7605000000.00,32120000000.00,24558000000.00,16303000000.00,8081000000.00,33641000000.00,25485000000.00,16712000000.00,8163000000.00
减：所得税(元),3184000000.00,1374000000.00,4917000000.00,6486000000.00,4282000000.00,2057000000.00,10075000000.00,7817000000.00,5216000000.00,2567000000.00,10365000000.00,7832000000.00,5042000000.00,2279000000.00
持续经营净利润(元),10636000000.00,6127000000.00,22460000000.00,16050000000.00,11396000000.00,5548000000.00,22045000000.00,16741000000.00,11087000000.00,5514000000.00,23276000000.00,17653000000.00,11670000000.00,5884000000.00
净利润(元),10636000000.00,6127000000.00,22460000000.00,16050000000.00,11396000000.00,5548000000.00,22045000000.00,16741000000.00,11087000000.00,5514000000.00,23276000000.00,17653000000.00,11670000000.00,5884000000.00
减：少数股东损益(元),314000000.00,191000000.00,277000000.00,187000000.00,129000000.00,91000000.00,107000000.00,77000000.00,67000000.00,52000000.00,382000000.00,334000000.00,147000000.00,80000000.00
归属于母公司股东净利润(元),10322000000.00,5936000000.00,22183000000.00,15863000000.00,11267000000.00,5457000000.00,21938000000.00,16664000000.00,11020000000.00,5462000000.00,22894000000.00,17319000000.00,11523000000.00,5804000000.00
减：归属于优先股净利润及其他项(元),797000000.00,403000000.00,1629000000.00,1218000000.00,807000000.00,401000000.00,1565000000.00,1163000000.00,762000000.00,377000000.00,1424000000.00,1052000000.00,699000000.00,343000000.00
归属于普通股股东净利润(元),9525000000.00,5533000000.00,20554000000.00,14645000000.00,10460000000.00,5056000000.00,20373000000.00,15501000000.00,10258000000.00,5085000000.00,21470000000.00,16267000000.00,10824000000.00,5461000000.00
每股股息,,,,,,,,,,,,,,
每股股息－普通股(元),0.78,0.39,1.54,1.15,0.76,0.38,1.52,1.14,0.76,1.00,1.48,1.10,0.73,0.35
每股收益,,,,,,,,,,,,,,
基本每股收益－普通股(元),1.95,1.13,4.14,2.94,2.09,1.01,4.03,3.06,2.02,0.99,4.18,3.16,2.10,1.06
摊薄每股收益－普通股(元),1.94,1.12,4.10,2.91,2.07,1.00,3.99,3.03,2.00,0.38,4.12,3.12,2.07,1.04
其他全面收益(元),-3199000000.00,-2659000000.00,825000000.00,1481000000.00,1027000000.00,-41000000.00,-3434000000.00,1863000000.00,-,1501000000.00,-,-1004000000.00,-1303000000.00,259000000.00
全面收益总额(元),7436000000.00,-,-,17531000000.00,12428000000.00,5521000000.00,18594000000.00,18604000000.00,13695000000.00,7015000000.00,-,16649000000.00,10367000000.00,6444000000.00
本公司拥有人应占全面收益总额(元),7123000000.00,3468000000.00,23008000000.00,17373000000.00,12294000000.00,5416000000.00,18504000000.00,18551000000.00,13671000000.00,-,-,16190000000.00,10073000000.00,-
非控股权益应占全面收益总额(元),313000000.00,-191000000.00,-,158000000.00,134000000.00,-105000000.00,90000000.00,53000000.00,24000000.00,-,-,459000000.00,294000000.00,-
公告日期,2018-07-13,2018-04-13,2018-01-12,2017-10-13,2017-07-14,2017-05-05,2017-03-01,2016-11-03,2016-08-03,2016-05-04,2016-02-24,2015-11-04,2015-08-05,2015-05-06
会计准则,美国会计准则,美国会计准则,,,,,,,,,,,,
审计意见,,,,,,,,,,,,,,
核数师,,,,,,,,,,,,,,

