zichanfuzhai
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

截止日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
公告日期,2018-08-07,2018-05-08,2018-02-27,2017-11-07,2017-08-08,2017-05-09,2017-02-28,2016-11-07,2016-08-08,2016-05-09,2016-02-26,2015-11-05,2015-08-06,2015-05-07
会计准则,美国会计准则,美国会计准则,,,,,,,,,,,,
审计意见,,,,,,,,,,,,,,
核数师,,,,,,,,,,,,,,

xianjinliuliang
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

起始日期,2018-01-01,2018-01-01,2017-01-01,2017-01-01,2017-01-01,2017-01-01,2016-01-01,2016-01-01,2016-01-01,2016-01-01,2015-01-01,2015-01-01,2015-01-01,2015-01-01
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
经营活动产生的现金流量：,,,,,,,,,,,,,,
净利润(元),2457000000.00,741000000.00,2418000000.00,3456000000.00,3507000000.00,1556000000.00,3941000000.00,4528000000.00,2339000000.00,1130000000.00,4459000000.00,3477000000.00,1646000000.00,958000000.00
折旧及摊销(元),2363000000.00,1137000000.00,4637000000.00,3509000000.00,2355000000.00,1193000000.00,5441000000.00,4286000000.00,3111000000.00,1561000000.00,6375000000.00,4815000000.00,3245000000.00,1637000000.00
基于股票的补偿费(元),170000000.00,80000000.00,312000000.00,232000000.00,156000000.00,74000000.00,300000000.00,225000000.00,148000000.00,68000000.00,299000000.00,918000000.00,146000000.00,-
减值及拨备(元),-,-,646000000.00,376000000.00,131000000.00,80000000.00,3948000000.00,572000000.00,567000000.00,277000000.00,162000000.00,80000000.00,73000000.00,14000000.00
递延所得税(元),-258000000.00,-30000000.00,-2621000000.00,-601000000.00,-272000000.00,-54000000.00,-1521000000.00,-65000000.00,-120000000.00,-70000000.00,-764000000.00,-846000000.00,-383000000.00,-
权益性投资损益(元),-,-,-40000000.00,-,-,-,-70000000.00,-47000000.00,-31000000.00,-30000000.00,-155000000.00,-198000000.00,-140000000.00,-142000000.00
汇兑损益(元),-,-,-,-,-,-,-,-,-,-,876000000.00,715000000.00,715000000.00,-
经营业务调整其他项目(元),650000000.00,650000000.00,5847000000.00,750000000.00,-,-,938000000.00,247000000.00,197000000.00,97000000.00,1437000000.00,-,577000000.00,-
存货的减少(增加)(元),-,-,-145000000.00,-,-,-,206000000.00,-,-,-,805000000.00,-,-,-
应收账款及票据减少(增加)(元),-,-,297000000.00,-,-,-,-619000000.00,-,-,-,-480000000.00,-,-,-
应付账款及票据增加(减少)(元),-,-,254000000.00,-,-,-,278000000.00,-,-,-,-37000000.00,-,-,-
应付税项(元),-,-,-3291000000.00,-,-,-,124000000.00,-,-,-,-266000000.00,-,-,-179000000.00
应计费用及其他负债(元),-,-,-1045000000.00,-,-,-,-2018000000.00,-,-,-,-8000000.00,-,-,-
经营业务其他项目(元),-845000000.00,-1423000000.00,-822000000.00,-5290000000.00,-2274000000.00,-2563000000.00,-572000000.00,-3002000000.00,-2438000000.00,-875000000.00,-282000000.00,-787000000.00,-1010000000.00,-4000000.00
经营活动产生的现金流量净额(元),4537000000.00,1155000000.00,6447000000.00,2432000000.00,3603000000.00,286000000.00,10376000000.00,6744000000.00,3773000000.00,2158000000.00,12421000000.00,8174000000.00,4869000000.00,2284000000.00
投资活动产生的现金流量：,,,,,,,,,,,,,,
购买固定资产支付的现金(元),-1033000000.00,-450000000.00,-,-1173000000.00,-732000000.00,-339000000.00,-2394000000.00,-1063000000.00,-654000000.00,-279000000.00,-1283000000.00,-790000000.00,-474000000.00,-203000000.00
购买无形资产及其他资产支付的现金(元),-5248000000.00,-1326000000.00,-10739000000.00,-,-,-,-,-,-,-,-,-,-,-
处置无形资产及其他资产收到的现金(元),7403000000.00,1848000000.00,15664000000.00,12533000000.00,9363000000.00,6819000000.00,14353000000.00,11300000000.00,7388000000.00,4620000000.00,20413000000.00,16531000000.00,12628000000.00,6287000000.00
收购附属公司(元),-,-,-396000000.00,-347000000.00,-347000000.00,-306000000.00,-,-778000000.00,-157000000.00,-147000000.00,-7744000000.00,-7708000000.00,-7598000000.00,-7598000000.00
出售附属公司(元),-,-,-,-,-,-,-,-,-,-,316000000.00,151000000.00,25000000.00,-
投资业务其他项目(元),-646000000.00,-269000000.00,-1850000000.00,-8276000000.00,-6218000000.00,-2981000000.00,-15169000000.00,-10106000000.00,-6334000000.00,-2453000000.00,-16460000000.00,-12325000000.00,-8661000000.00,-5091000000.00
投资活动产生的现金流量净额(元),476000000.00,-197000000.00,2679000000.00,2737000000.00,2066000000.00,3193000000.00,-3210000000.00,-647000000.00,243000000.00,1741000000.00,-4758000000.00,-4141000000.00,-4080000000.00,-6605000000.00
融资活动产生的现金流量：,,,,,,,,,,,,,,
新增借款(元),2069000000.00,-1000000.00,-26000000.00,1962000000.00,-24000000.00,3784000000.00,-,909000000.00,-9000000.00,-,-1540000000.00,-1526000000.00,-1529000000.00,2177000000.00
偿还借款(元),-3008000000.00,-1003000000.00,-1103000000.00,-,-,-,-,-,-,-,-,-,-,-
回购股份(元),-2162000000.00,-566000000.00,-4014000000.00,-2312000000.00,-2153000000.00,-1019000000.00,-3434000000.00,-2418000000.00,-1573000000.00,-913000000.00,-4186000000.00,-3005000000.00,-1724000000.00,-1015000000.00
发行债券(元),-,-,-,-,-,-,1079000000.00,8000000.00,8000000.00,-,7938000000.00,7938000000.00,7940000000.00,7941000000.00
赎回债券(元),-,-,-,-301000000.00,-301000000.00,-300000000.00,-2386000000.00,-2386000000.00,-2351000000.00,-851000000.00,-2906000000.00,-2905000000.00,-2905000000.00,-2902000000.00
股息支付(元),-2610000000.00,-1299000000.00,-5167000000.00,-3884000000.00,-2601000000.00,-1294000000.00,-5124000000.00,-3853000000.00,-2579000000.00,-1279000000.00,-5117000000.00,-3854000000.00,-2582000000.00,-1280000000.00
行使股票期权所得(元),299000000.00,230000000.00,499000000.00,481000000.00,408000000.00,313000000.00,939000000.00,790000000.00,381000000.00,202000000.00,485000000.00,434000000.00,377000000.00,242000000.00
其他筹资活动产生的现金流量净额(元),-277000000.00,-83000000.00,-195000000.00,-167000000.00,-86000000.00,-23000000.00,-118000000.00,-117000000.00,-109000000.00,-10000000.00,56000000.00,55000000.00,93000000.00,-8000000.00
融资活动产生的现金流量净额(元),-5689000000.00,-2722000000.00,-10006000000.00,-4221000000.00,-4757000000.00,1461000000.00,-9044000000.00,-7067000000.00,-6232000000.00,-2851000000.00,-5270000000.00,-2863000000.00,-330000000.00,5155000000.00
汇率变动影响(元),-108000000.00,154000000.00,457000000.00,438000000.00,359000000.00,253000000.00,-131000000.00,353000000.00,300000000.00,144000000.00,-1310000000.00,-1063000000.00,-978000000.00,-295000000.00
现金及现金等价物期初余额(元),6096000000.00,6096000000.00,6515000000.00,6515000000.00,6515000000.00,6515000000.00,8524000000.00,8524000000.00,8524000000.00,8524000000.00,7441000000.00,7441000000.00,7441000000.00,7441000000.00
现金及现金等价物增加(减少)额(元),-784000000.00,-1610000000.00,-423000000.00,1386000000.00,1271000000.00,5193000000.00,-2009000000.00,-617000000.00,-1916000000.00,1192000000.00,1083000000.00,107000000.00,-519000000.00,539000000.00
