zichanfuzhai
,2018年中报,2017年年报,2017年中报,2016年年报,2016年中报,2015年年报
公告日期,2018-04-26,2017-09-25,2017-04-24,2016-10-27,2016-06-22,2016-10-27
会计准则,香港会计准则,香港会计准则,香港会计准则,香港会计准则,香港会计准则,香港会计准则
审计意见,-,-,-,-,-,-
审核师,-,-,-,-,-,-
原始财报文件下载,下载财报(PDF),下载财报(PDF),下载财报(PDF),下载财报(PDF),下载财报(PDF),下载财报(PDF)

lirun
,2018年中报,2017年年报,2017年中报,2016年年报,2016年中报,2015年年报,2015年中报

起始日期,2018-01-01,2017-01-01,2017-01-01,2016-01-01,2016-01-01,2015-01-01,2015-01-01
截止日期,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231,1231
上市前/上市后,上市后,上市后,上市后,上市后,上市前,上市前,上市前
原始币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币
营业收入计算(元),1596582000.00,3248943000.00,1618306000.00,2816489000.00,1389135000.00,2432009000.00,1174692000.00
销售成本(元),-640905000.00,-1269220000.00,-632386000.00,-1061387000.00,-518104000.00,-1059190000.00,-531071000.00
毛利计算(元),955677000.00,1979723000.00,985920000.00,1755102000.00,871031000.00,1372819000.00,643621000.00
其他收入(元),65217000.00,109737000.00,39780000.00,50704000.00,13008000.00,28062000.00,9066000.00
销售及分销成本(元),-495158000.00,-947990000.00,-428180000.00,-700893000.00,-311937000.00,-527969000.00,-231731000.00
行政开支(元),-86560000.00,-142056000.00,-70725000.00,-141547000.00,-61933000.00,-124724000.00,-50833000.00
经营溢利计算(元),439176000.00,999414000.00,526795000.00,963366000.00,510169000.00,748188000.00,370123000.00
税前利润(元),439176000.00,999414000.00,526795000.00,963366000.00,510169000.00,748188000.00,370123000.00
所得税(元),-107665000.00,-237786000.00,-125761000.00,-247755000.00,-129430000.00,-195450000.00,-99677000.00
影响净利润的其他项目(元),-215330000.00,-,-,-,-,-,-
净利润(元),331511000.00,761628000.00,401034000.00,715611000.00,380739000.00,552738000.00,270446000.00
本公司拥有人应占净利润(元),331511000.00,761628000.00,401034000.00,715611000.00,380739000.00,552738000.00,270446000.00
每股收益,,,,,,,
基本每股收益(元),0.14,0.32,0.17,0.37,-,-,-
稀释每股收益(元),0.14,0.32,0.17,0.37,-,-,-
其他全面收益(元),12410000.00,-149693000.00,-71391000.00,50604000.00,1360000.00,7690000.00,-
全面收益总额(元),343921000.00,611935000.00,329643000.00,766215000.00,382099000.00,560428000.00,270446000.00
本公司拥有人应占全面收益总额(元),343921000.00,611935000.00,329643000.00,766215000.00,382099000.00,560428000.00,270446000.00
公告日期,2018-08-29,2018-03-21,2017-08-22,2017-03-22,2016-10-27,2016-06-22,2016-10-27
会计准则,香港会计准则,香港会计准则,香港会计准则,香港会计准则,香港会计准则,香港会计准则,香港会计准则
审计意见,-,-,-,-,-,-,-
核数师,-,-,-,-,-,-,-
原始财报文件下载,下载财报(PDF),下载财报(PDF),下载财报(PDF),下载财报(PDF),下载财报(PDF),下载财报(PDF),下载财报(PDF)

