zichanfuzhai
营业成本(元),124692000.00,62902000.00,231255000.00,159250000.00,96822000.00,46450000.00,171231000.00,121777000.00,77283000.00,36626000.00,141960000.00,99855000.00,62614000.00,28925000.00
毛利(元),651780000.00,286981000.00,918799000.00,613359000.00,355752000.00,152751000.00,484569000.00,321275000.00,188892000.00,82664000.00,335931000.00,229011000.00,141518000.00,67365000.00
减：研发费用(元),121136000.00,60523000.00,193393000.00,135489000.00,84719000.00,39191000.00,154088000.00,114219000.00,74545000.00,36934000.00,143444000.00,106830000.00,69337000.00,34328000.00
减：营销费用(元),245840000.00,105863000.00,275537000.00,182872000.00,106526000.00,47163000.00,148283000.00,100277000.00,62207000.00,30041000.00,126059000.00,89806000.00,59700000.00,31177000.00
减：一般及行政费用(元),20529000.00,11216000.00,42315000.00,32723000.00,20686000.00,10546000.00,41218000.00,29456000.00,17738000.00,8538000.00,28925000.00,20660000.00,14664000.00,6169000.00
营业利润(元),264275000.00,109379000.00,407554000.00,262275000.00,143821000.00,55851000.00,140980000.00,77323000.00,34402000.00,7151000.00,37503000.00,11715000.00,-2183000.00,-4309000.00
加：利息收入(元),21609000.00,9128000.00,14290000.00,9927000.00,4990000.00,2222000.00,8757000.00,5742000.00,3831000.00,1420000.00,6344000.00,4895000.00,3081000.00,1459000.00
加：权益性投资损益(元),-,-,-4733000.00,-,-,-,404000.00,-,-,-,938000.00,-,-4000.00,-
加：投资性减值准备(元),-,-1499000.00,-,-2050000.00,-1370000.00,-122000.00,-40161000.00,-15395000.00,-4308000.00,-868000.00,-8005000.00,146000.00,608000.00,-
加：公允价值变动损益(元),-3034000.00,-,-,-,-,-,-,-,-,-,-,-,-,-
持续经营税前利润(元),282850000.00,117008000.00,417111000.00,270152000.00,147441000.00,57951000.00,109980000.00,67670000.00,33925000.00,7703000.00,36780000.00,16756000.00,1502000.00,-2850000.00
减：所得税(元),43445000.00,18297000.00,66746000.00,49701000.00,27679000.00,11316000.00,4316000.00,4261000.00,2344000.00,548000.00,2591000.00,1439000.00,409000.00,-5000.00
持续经营净利润(元),239405000.00,98711000.00,350365000.00,220451000.00,119762000.00,46635000.00,105664000.00,63409000.00,31581000.00,7155000.00,34189000.00,15317000.00,1093000.00,-2845000.00
净利润(元),239405000.00,98711000.00,350365000.00,220451000.00,119762000.00,46635000.00,105664000.00,63409000.00,31581000.00,7155000.00,34189000.00,15317000.00,1093000.00,-2845000.00
减：少数股东损益(元),-594000.00,-374000.00,-2225000.00,-1157000.00,-717000.00,-296000.00,-2363000.00,-1648000.00,-1374000.00,57000.00,-556000.00,-306000.00,-53000.00,49000.00
归属于母公司股东净利润(元),239999000.00,99085000.00,352590000.00,221608000.00,120479000.00,46931000.00,108027000.00,65057000.00,32955000.00,7098000.00,34745000.00,15623000.00,1146000.00,-2894000.00
归属于普通股股东净利润(元),239999000.00,99085000.00,352590000.00,221608000.00,120479000.00,46931000.00,108027000.00,65057000.00,32955000.00,7098000.00,34745000.00,15623000.00,1146000.00,-2894000.00
每股收益,,,,,,,,,,,,,,
基本每股收益－普通股(元),1.08,0.44,1.60,1.01,0.55,0.21,0.50,0.30,0.15,0.03,0.17,0.08,0.01,-0.01
摊薄每股收益－普通股(元),1.06,0.44,1.56,0.98,0.54,0.21,0.48,0.29,0.15,0.03,0.16,0.07,0.01,-0.01
全面收益总额(元),-,-,-,-,-,-,89031000.00,-,-,-,26117000.00,-,-,-
本公司拥有人占全面收益总额(元),-,-,-,-,-,-,91668000.00,-,-,-,26946000.00,-,-,-
非控股权益占全面收益总额(元),-,-,-,-,-,-,-2637000.00,-,-,-,-829000.00,-,-,-
公告日期,2018-08-08,2018-05-09,2018-02-13,2017-11-08,2017-08-09,2017-05-16,2017-04-27,2016-11-21,2016-08-08,2016-05-11,2016-04-28,2015-11-18,2015-08-18,2015-05-14
会计准则,美国会计准则,美国会计准则,,,,,,,,,,,,
审计意见,,,,,,,,,,,,,,
核数师,,,,,,,,,,,,,,

