zichanfuzhai
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

投资支付现金(元),-879000000.00,-13000000.00,-13972000000.00,-13891000000.00,-678000000.00,-45000000.00,-116000000.00,-113000000.00,-30000000.00,-16000000.00,-795000000.00,-478000000.00,-374000000.00,-365000000.00
投资活动产生的现金流量净额(元),-3225000000.00,-533000000.00,-27819000000.00,-25787000000.00,-6667000000.00,-1616000000.00,-9876000000.00,-5702000000.00,-3132000000.00,-693000000.00,-6450000000.00,-4600000000.00,-3223000000.00,-1847000000.00
融资活动产生的现金流量：,,,,,,,,,,,,,,
赎回债券(元),-351000000.00,-202000000.00,-1372000000.00,-202000000.00,-122000000.00,-69000000.00,-354000000.00,-271000000.00,-245000000.00,-175000000.00,-1652000000.00,-712000000.00,-531000000.00,-316000000.00
贷款收益(元),221000000.00,125000000.00,16231000000.00,16170000000.00,90000000.00,24000000.00,621000000.00,83000000.00,75000000.00,9000000.00,353000000.00,260000000.00,226000000.00,183000000.00
超额税收优惠(元),-,-,-,-,-,-,829000000.00,493000000.00,320000000.00,207000000.00,119000000.00,212000000.00,117000000.00,22000000.00
筹资业务其他项目(元),-3426000000.00,-2087000000.00,-4999000000.00,-3461000000.00,-2145000000.00,-869000000.00,-4007000000.00,-2960000000.00,-1978000000.00,-830000000.00,-2583000000.00,-1833000000.00,-1156000000.00,-541000000.00
融资活动产生的现金流量净额(元),-3556000000.00,-2164000000.00,9860000000.00,12507000000.00,-2177000000.00,-914000000.00,-2911000000.00,-2655000000.00,-1828000000.00,-789000000.00,-3763000000.00,-2073000000.00,-1344000000.00,-652000000.00
汇率变动影响(元),-197000000.00,248000000.00,713000000.00,623000000.00,474000000.00,226000000.00,-212000000.00,332000000.00,286000000.00,222000000.00,-374000000.00,-283000000.00,-219000000.00,-322000000.00
现金及现金等价物期初余额(元),21856000000.00,21856000000.00,19334000000.00,19334000000.00,19334000000.00,19334000000.00,15890000000.00,15890000000.00,15890000000.00,15890000000.00,14557000000.00,14557000000.00,14557000000.00,14557000000.00
现金及现金等价物增加(减少)额(元),-1320000000.00,-4240000000.00,1188000000.00,-6567000000.00,-6131000000.00,-3894000000.00,3444000000.00,-2234000000.00,-3369000000.00,-3420000000.00,1333000000.00,-3848000000.00,-4288000000.00,-4320000000.00
现金及现金等价物期末余额(元),20536000000.00,17616000000.00,20522000000.00,12767000000.00,13203000000.00,15440000000.00,19334000000.00,13656000000.00,12521000000.00,12470000000.00,15890000000.00,10709000000.00,10269000000.00,10237000000.00
利息支付(元),450000000.00,282000000.00,647000000.00,-,150000000.00,4000000.00,290000000.00,291000000.00,240000000.00,49000000.00,478000000.00,177000000.00,169000000.00,17000000.00
所得税支付(元),813000000.00,513000000.00,957000000.00,865000000.00,693000000.00,246000000.00,412000000.00,317000000.00,226000000.00,139000000.00,273000000.00,200000000.00,119000000.00,55000000.00
非现金活动(元),6395000000.00,3140000000.00,13178000000.00,9800000000.00,6683000000.00,3149000000.00,7119000000.00,4459000000.00,2879000000.00,1226000000.00,5261000000.00,3766000000.00,2594000000.00,1057000000.00
公告日期,2018-07-27,2018-04-27,2018-02-02,2017-10-27,2017-07-28,2017-04-28,2017-02-10,2016-10-28,2016-07-29,2016-04-29,2016-01-29,2015-10-23,2015-07-24,2015-04-24
会计准则,美国会计准则,美国会计准则,,,,,,,,,,,,
审计意见,,,,,,,,,,,,,,
核数师,,,,,,,,,,,,,,

lirun
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

