zichanfuzhai
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

截止日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
原始币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
原始币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币
经营活动产生的现金流量,,,,,,,,,,,,,,
除税前利润(元),-,-,88215000000.00,-,-,-,-,-,-,-,-,-,-,-
资产减值准备(元),-,-,263000000.00,-,-,-,-,-,-,-,-,-,-,-
折旧与摊销(元),-,-,23611000000.00,-,-,-,-,-,-,-,-,-,-,-
出售物业、厂房及设备的亏损收益(元),-,-,-13518000000.00,-,-,-,-,-,-,-,-,-,-,-
投资亏损收益(元),-,-,-1713000000.00,-,-,-,-,-,-,-,-,-,-,-
应占联营及合营公司亏损收益(元),-,-,1734000000.00,-,-,-,-,-,-,-,-,-,-,-
利息收入(元),-,-,-3940000000.00,-,-,-,-,-,-,-,-,-,-,-
存货的减少增加(元),-,-,-39000000.00,-,-,-,-,-,-,-,-,-,-,-
应收帐款减少增加(元),-,-,-6400000000.00,-,-,-,-,-,-,-,-,-,-,-
预付款项、按金及其他应收款项减少增加(元),-,-,-3760000000.00,-,-,-,-,-,-,-,-,-,-,-
应付帐款增加减少(元),-,-,16134000000.00,-,-,-,-,-,-,-,-,-,-,-
预收账款、按金及其他应付款增加减少(元),-,-,8422000000.00,-,-,-,-,-,-,-,-,-,-,-
经营资金变动其他项目(元),-,-,10993000000.00,-,-,-,-,-,-,-,-,-,-,-
经营活动产生的现金(元),-,-,120002000000.00,-,-,-,-,-,-,-,-,-,-,-
已付税项(元),-,-,-13862000000.00,-,-,-,-,-,-,-,-,-,-,-
经营活动产生的现金流量净额其他项目(元),41403000000.00,19825000000.00,-,77546000000.00,47082000000.00,26614000000.00,65518000000.00,45518000000.00,28849000000.00,16916000000.00,45431000000.00,27240000000.00,17295000000.00,9688000000.00
经营活动产生的现金流量净额(元),41403000000.00,19825000000.00,106140000000.00,77546000000.00,47082000000.00,26614000000.00,65518000000.00,45518000000.00,28849000000.00,16916000000.00,45431000000.00,27240000000.00,17295000000.00,9688000000.00
投资活动产生的现金流量,,,,,,,,,,,,,,
购买物业、厂房及设备支付的现金(元),-,-,-12108000000.00,-,-,-,-,-,-,-,-,-,-,-
出售物业、厂房及设备收到的现金(元),-,-,28000000.00,-,-,-,-,-,-,-,-,-,-,-
