zichanfuzhai
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

截止日期,2018-06-29,2018-03-30,2017-12-31,2017-09-29,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-07-01,2016-04-01,2015-12-31,2015-10-02,2015-07-03,2015-04-03
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
购买固定资产支付的现金(元),-612000000.00,-274000000.00,-1675000000.00,-1194000000.00,-832000000.00,-442000000.00,-2112000000.00,-1561000000.00,-1085000000.00,-536000000.00,-2553000000.00,-1670000000.00,-1114000000.00,-516000000.00
处置固定资产收到的现金(元),62000000.00,43000000.00,104000000.00,72000000.00,42000000.00,18000000.00,-,92000000.00,41000000.00,29000000.00,85000000.00,50000000.00,33000000.00,21000000.00
购买无形资产及其他资产支付的现金(元),-4833000000.00,-2669000000.00,-16520000000.00,-12925000000.00,-10047000000.00,-3551000000.00,-15499000000.00,-12733000000.00,-9045000000.00,-4763000000.00,-15831000000.00,-12006000000.00,-6981000000.00,-4003000000.00
处置无形资产及其他资产收到的现金(元),7621000000.00,4379000000.00,15911000000.00,12161000000.00,8337000000.00,4176000000.00,16624000000.00,13955000000.00,9518000000.00,6010000000.00,14079000000.00,10403000000.00,6316000000.00,3746000000.00
收购附属公司(元),-218000000.00,-183000000.00,-3900000000.00,-538000000.00,-520000000.00,-337000000.00,-,-767000000.00,-723000000.00,-688000000.00,-2491000000.00,-2489000000.00,-2284000000.00,-603000000.00
出售附属公司(元),304000000.00,3000000.00,3821000000.00,2790000000.00,2055000000.00,-,1035000000.00,-,-,291000000.00,565000000.00,416000000.00,413000000.00,229000000.00
投资业务其他项目(元),17000000.00,-2000000.00,-191000000.00,-122000000.00,-259000000.00,1175000000.00,-1047000000.00,-319000000.00,357000000.00,5000000.00,-40000000.00,-117000000.00,-139000000.00,314000000.00
投资活动产生的现金流量净额(元),2341000000.00,1297000000.00,-2450000000.00,244000000.00,-1224000000.00,1039000000.00,-999000000.00,-1333000000.00,-937000000.00,348000000.00,-6186000000.00,-5413000000.00,-3756000000.00,-812000000.00
融资活动产生的现金流量：,,,,,,,,,,,,,,
偿还借款(元),-16643000000.00,-8770000000.00,-28768000000.00,-22424000000.00,-14910000000.00,-9223000000.00,-25615000000.00,-20406000000.00,-12750000000.00,-6783000000.00,-37738000000.00,-30159000000.00,-22358000000.00,-15755000000.00
发行股份(元),600000000.00,477000000.00,1595000000.00,1320000000.00,917000000.00,394000000.00,1434000000.00,1295000000.00,1108000000.00,763000000.00,1245000000.00,732000000.00,410000000.00,279000000.00
回购股份(元),-1317000000.00,-927000000.00,-3682000000.00,-3087000000.00,-2197000000.00,-1304000000.00,-3681000000.00,-2509000000.00,-2156000000.00,-739000000.00,-3564000000.00,-1966000000.00,-1298000000.00,-654000000.00
发行债券(元),16190000000.00,9576000000.00,29857000000.00,24899000000.00,18586000000.00,11704000000.00,27281000000.00,22667000000.00,15947000000.00,8530000000.00,40434000000.00,34298000000.00,24878000000.00,16373000000.00
股息支付(元),-1662000000.00,-,-6320000000.00,-3165000000.00,-1584000000.00,-,-6043000000.00,-3028000000.00,-3017000000.00,-1505000000.00,-5741000000.00,-4313000000.00,-2877000000.00,-1441000000.00
其他筹资活动产生的现金流量净额(元),-58000000.00,-72000000.00,-91000000.00,-42000000.00,-15000000.00,-36000000.00,79000000.00,198000000.00,85000000.00,133000000.00,251000000.00,230000000.00,115000000.00,21000000.00
筹资业务其他项目(元),-,40000000.00,-38000000.00,-,-,-,-,-,-,-,-,-,-,-
