zichanfuzhai
,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

截止日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331
原始币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

起始日期,2018-04-01,2017-04-01,2017-04-01,2017-04-01,2017-04-01,2016-04-01,2016-04-01,2016-04-01,2016-04-01,2015-04-01,2015-04-01,2015-04-01,2015-04-01
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331
原始币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
经营活动产生的现金流量：,,,,,,,,,,,,,
净利润(元),-,-,-,-,-,41226000000.00,-,-,-,71289000000.00,-,-,-
折旧及摊销(元),-,-,-,-,-,5548000000.00,-,-,-,6965000000.00,-,-,-
基于股票的补偿费(元),-,-,-,-,-,15995000000.00,-,-,-,14962000000.00,-,-,-
减值及拨备(元),-,-,-,-,-,1680000000.00,-,-,-,446000000.00,-,-,-
递延所得税(元),-,-,-,-,-,281000000.00,-,-,-,1226000000.00,-,-,-
资产处置损益(元),-,-,-,-,-,-5454000000.00,-,-,-,-27830000000.00,-,-,-
重估盈余(元),-,-,-,-,-,-759000000.00,-,-,-,84000000.00,-,-,-
权益性投资损益(元),-,-,-,-,-,5027000000.00,-,-,-,-18098000000.00,-,-,-
经营业务调整其他项目(元),-,-,-,-,-,9523000000.00,-,-,-,-,-,-,-
存款及限制性现金减少(增加)(元),-,-,-,-,-,875000000.00,-,-,-,113000000.00,-,-,-
预收款项及其他应付款增加(减少)(元),-,-,-,-,-,2528000000.00,-,-,-,-,-,-,-
待摊费用及其他资产(元),-,-,-,-,-,-8237000000.00,-,-,-,-4012000000.00,-,-,-
应付账款及票据增加(减少)(元),-,-,-,-,-,-,-,-,-,8104000000.00,-,-,-
递延收入(元),-,-,-,-,-,4611000000.00,-,-,-,2350000000.00,-,-,-
应付税项(元),-,-,-,-,-,4698000000.00,-,-,-,1237000000.00,-,-,-
应计费用及其他负债(元),-,-,-,-,-,5312000000.00,-,-,-,-,-,-,-
经营业务其他项目(元),-,-,-,-,-,-2528000000.00,-,-,-,-,-,-,-
经营活动产生的现金流量净额(元),36117000000.00,125171000000.00,110991000000.00,55818000000.00,25311000000.00,80326000000.00,69580000000.00,32164000000.00,14958000000.00,56836000000.00,51754000000.00,25524000000.00,10400000000.00
投资活动产生的现金流量：,,,,,,,,,,,,,
购买无形资产及其他资产支付的现金(元),-,-,-,-,-,-5326000000.00,-,-,-,-5407000000.00,-,-,-
处置无形资产及其他资产收到的现金(元),-,-,-,-,-,4941000000.00,-,-,-,10021000000.00,-,-,-
存款增加(减少)(元),-,-,-,-,-,452000000.00,-,-,-,-4692000000.00,-,-,-
贷款偿还(元),-,-,-,-,-,-,-,-,-,2212000000.00,-,-,-
投资支付现金(元),-,-,-,-,-,-39429000000.00,-,-,-,-52979000000.00,-,-,-
收购附属公司(元),-,-,-,-,-,-33454000000.00,-,-,-,-1495000000.00,-,-,-
出售附属公司(元),-,-,-,-,-,-,-,-,-,4890000000.00,-,-,-
投资业务其他项目(元),-,-,-,-,-,-5548000000.00,-,-,-,4619000000.00,-,-,-15592000000.00
投资活动产生的现金流量净额(元),-71670000000.00,-83890000000.00,-64074000000.00,-39595000000.00,-13912000000.00,-78364000000.00,-75329000000.00,-67183000000.00,-61468000000.00,-42831000000.00,-35438000000.00,-21167000000.00,-15592000000.00
融资活动产生的现金流量：,,,,,,,,,,,,,
偿还借款(元),-,-,-,-,-,-67344000000.00,-,-,-,-26495000000.00,-,-,-
发行股份(元),-,-,-,-,-,14607000000.00,-,-,-,693000000.00,-,-,-
回购股份(元),-,-,-,-,-,-13182000000.00,-,-,-,-19795000000.00,-,-,-
股息支付(元),-,-,-,-,-,-163000000.00,-,-,-,-3000000.00,-,-,-
贷款收益(元),-,-,-,-,-,96677000000.00,-,-,-,28973000000.00,-,-,-
超额税收优惠(元),-,-,-,-,-,-,-,-,-,725000000.00,-,-,-
现金及权益增加(减少)(元),-,-,-,-,-,1501000000.00,-,-,-,56000000.00,-,-,-
