zichanfuzhai
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

投资支付现金(元),-,-,-,-,-,-,-,-,-41131000.00,-,-,-,-,-
投资业务其他项目(元),-2227000.00,-1786000.00,-,-2940000.00,-1833000.00,-769000.00,-941000.00,-57704000.00,551000.00,-356000.00,-1912000.00,-4174000.00,-414000.00,225000.00
投资活动产生的现金流量净额(元),-90068000.00,-49752000.00,34329000.00,70170000.00,-132022000.00,-75590000.00,49765000.00,25343000.00,1367000.00,4263000.00,-179192000.00,-138631000.00,-91152000.00,-42822000.00
融资活动产生的现金流量：,,,,,,,,,,,,,,
偿还借款(元),-,-,-,-,-,-,-,-,-,-,-545000.00,-599000.00,-538000.00,-251000.00
发行股份(元),83271000.00,56335000.00,88378000.00,73673000.00,39004000.00,24178000.00,36979000.00,11587000.00,7768000.00,3536000.00,77980000.00,69809000.00,34720000.00,10916000.00
发行债券(元),1900000000.00,-,3020510000.00,1420510000.00,1420510000.00,-,1000000000.00,-,-,-,1500000000.00,1500000000.00,1500000000.00,1500000000.00
发行费用相关(元),-16992000.00,-,-32153000.00,-15325000.00,-15013000.00,-,-10700000.00,-,-,-,-17629000.00,-17629000.00,-17629000.00,-17232000.00
超额税收优惠(元),-,-,-,-,-,-,65121000.00,37401000.00,24639000.00,11316000.00,80471000.00,106154000.00,68428000.00,29001000.00
其他筹资活动产生的现金流量净额(元),-853000.00,-321000.00,255000.00,189000.00,124000.00,61000.00,230000.00,170000.00,112000.00,55000.00,-,-,-,-
融资活动产生的现金流量净额(元),1965426000.00,56014000.00,3076990000.00,1479047000.00,1444625000.00,24239000.00,1091630000.00,49158000.00,32519000.00,14907000.00,1640277000.00,1657735000.00,1584981000.00,1522434000.00
汇率变动影响(元),-29163000.00,7177000.00,29848000.00,27667000.00,16982000.00,5455000.00,-9165000.00,2151000.00,2592000.00,5334000.00,-15924000.00,-12581000.00,-4840000.00,-11061000.00
现金及现金等价物期初余额(元),2822795000.00,2822795000.00,1467576000.00,1467576000.00,1467576000.00,1467576000.00,1809330000.00,1809330000.00,1809330000.00,1809330000.00,1113608000.00,1113608000.00,1113608000.00,1113608000.00
现金及现金等价物增加(减少)额(元),1091199000.00,-223318000.00,1355219000.00,278893000.00,451201000.00,-389752000.00,-341754000.00,-840172000.00,-418405000.00,-204086000.00,695722000.00,1001829000.00,1180264000.00,1341169000.00
现金及现金等价物期末余额(元),3913994000.00,2599477000.00,2822795000.00,1746469000.00,1918777000.00,1077824000.00,1467576000.00,969158000.00,1390925000.00,1605244000.00,1809330000.00,2115437000.00,2293872000.00,2454777000.00
利息支付(元),-,-,113591000.00,-,-,-,-,-,-,-,111761000.00,-,-,-
所得税支付(元),-,-,-,-,-,-,-,-,-,-,27658000.00,-,-,-
收到利息(元),-,-,213313000.00,-,-,-,-,-,-,-,-,-,-,-
补充资料其他项目(元),-,-,-,-,-,-,-,-46605000.00,-,-,-,-,-,-
非现金活动(元),4642000.00,3917000.00,-32643000.00,-,-,-16672000.00,-,-1995661000.00,-,18121000.00,18824000.00,2362000.00,-,-
公告日期,2018-07-18,2018-04-18,2018-01-29,2017-10-16,2017-07-17,2017-04-20,2017-01-27,2016-10-20,2016-07-19,2016-04-20,2016-01-28,2015-10-16,2015-07-17,2015-04-17
会计准则,美国会计准则,美国会计准则,,,,,,,,,,,,
审计意见,,,,,,,,,,,,,,
核数师,,,,,,,,,,,,,,

lirun
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

起始日期,2018-01-01,2018-01-01,2017-01-01,2017-01-01,2017-01-01,2017-01-01,2016-01-01,2016-01-01,2016-01-01,2016-01-01,2015-01-01,2015-01-01,2015-01-01,2015-01-01
截止日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
营业收入(元),7608126000.00,3700856000.00,11692713000.00,8406958000.00,5422099000.00,2636635000.00,8830669000.00,6353128000.00,4062940000.00,1957736000.00,6779511000.00,4956178000.00,3217823000.00,1573129000.00
营业成本(元),4485942000.00,2196075000.00,7659666000.00,5552312000.00,3559332000.00,1657024000.00,6029901000.00,4375482000.00,2842638000.00,1369540000.00,4591476000.00,3342111000.00,2168153000.00,1046401000.00
毛利(元),3122184000.00,1504781000.00,4033047000.00,2854646000.00,1862767000.00,979611000.00,2800768000.00,1977646000.00,1220302000.00,588196000.00,2188035000.00,1614067000.00,1049670000.00,526728000.00
减：研发费用(元),617943000.00,300730000.00,1052778000.00,779427000.00,524191000.00,257108000.00,852098000.00,626907000.00,410808000.00,203508000.00,650788000.00,469929000.00,298167000.00,143106000.00
减：营销费用(元),1006002000.00,479222000.00,1278022000.00,858083000.00,545593000.00,271270000.00,991078000.00,706082000.00,424039000.00,208010000.00,824092000.00,599919000.00,391817000.00,194677000.00
减：一般及行政费用(元),589448000.00,278251000.00,863568000.00,623760000.00,408234000.00,194291000.00,577799000.00,418798000.00,265632000.00,127225000.00,407329000.00,298287000.00,187395000.00,91489000.00
