zichanfuzhai
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报
投资活动产生的现金流量净额(元),-3671000000.00,-1287000000.00,-20038000000.00,-15045000000.00,-11331000000.00,-5891000000.00,-11739000000.00,-9764000000.00,-6647000000.00,-1676000000.00,-9434000000.00,-6708000000.00,-3408000000.00,-2844000000.00
融资活动产生的现金流量：,,,,,,,,,,,,,,
回购股份(元),-5123000000.00,-1774000000.00,-1976000000.00,-1018000000.00,-378000000.00,-228000000.00,-,-,-,-,-,-,-,-
行使股票期权所得(元),-,-,-,-,-,-,-,-,-,-,-20000000.00,-20000000.00,-12000000.00,-5000000.00
超额税收优惠(元),-,-,-,-,-,-,-,1420000000.00,961000000.00,494000000.00,1721000000.00,1155000000.00,809000000.00,423000000.00
其他筹资活动产生的现金流量净额(元),7000000.00,3000000.00,-13000000.00,-14000000.00,12000000.00,7000000.00,-,-2000000.00,6000000.00,2000000.00,-,-,-,-
筹资业务其他项目(元),-1758000000.00,-832000000.00,-3246000000.00,-2360000000.00,-1495000000.00,-771000000.00,-310000000.00,-312000000.00,-312000000.00,-312000000.00,-119000000.00,-107000000.00,-84000000.00,-47000000.00
融资活动产生的现金流量净额(元),-6874000000.00,-2603000000.00,-5235000000.00,-3392000000.00,-1861000000.00,-992000000.00,-310000000.00,1106000000.00,655000000.00,184000000.00,1582000000.00,1028000000.00,713000000.00,371000000.00
汇率变动影响(元),-149000000.00,36000000.00,233000000.00,190000000.00,123000000.00,26000000.00,-63000000.00,31000000.00,12000000.00,58000000.00,-155000000.00,-99000000.00,-77000000.00,-123000000.00
现金及现金等价物期初余额(元),8204000000.00,8204000000.00,8903000000.00,8903000000.00,8903000000.00,8903000000.00,4907000000.00,4907000000.00,4907000000.00,4907000000.00,4315000000.00,4315000000.00,4315000000.00,4315000000.00
现金及现金等价物增加(减少)额(元),3464000000.00,4006000000.00,-824000000.00,-1702000000.00,-2651000000.00,-1799000000.00,3996000000.00,1131000000.00,201000000.00,1549000000.00,592000000.00,-7000000.00,808000000.00,-896000000.00
现金及现金等价物期末余额(元),11668000000.00,12210000000.00,8079000000.00,7201000000.00,6252000000.00,7104000000.00,8903000000.00,6038000000.00,5108000000.00,6456000000.00,4907000000.00,4308000000.00,5123000000.00,3419000000.00
利息支付(元),-,-,-,-,-,-,11000000.00,11000000.00,11000000.00,-,-,8000000.00,5000000.00,3000000.00
所得税支付(元),2281000000.00,-,-,-,1359000000.00,664000000.00,1210000000.00,764000000.00,407000000.00,170000000.00,-,199000000.00,159000000.00,119000000.00
非现金活动(元),237000000.00,-,-,-,187000000.00,-26000000.00,305000000.00,352000000.00,89000000.00,52000000.00,-,305000000.00,392000000.00,384000000.00
公告日期,2018-07-26,2018-04-26,2018-01-31,2017-11-02,2017-07-27,2017-05-04,2017-02-03,2016-11-03,2016-07-28,2016-04-28,2016-01-28,2015-11-05,2015-07-31,2015-04-23
会计准则,美国会计准则,美国会计准则,,,,,,,,,,,,
审计意见,,,,,,,,,,,,,,
核数师,,,,,,,,,,,,,,

lirun
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

起始日期,2018-01-01,2018-01-01,2017-01-01,2017-01-01,2017-01-01,2017-01-01,2016-01-01,2016-01-01,2016-01-01,2016-01-01,2015-01-01,2015-01-01,2015-01-01,2015-01-01
截止日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
营业收入(元),25197000000.00,11966000000.00,40653000000.00,27681000000.00,17353000000.00,8032000000.00,27638000000.00,18829000000.00,11818000000.00,5382000000.00,17928000000.00,12087000000.00,7586000000.00,3543000000.00
营业成本(元),4141000000.00,1927000000.00,5454000000.00,3843000000.00,2395000000.00,1159000000.00,3789000000.00,2741000000.00,1754000000.00,838000000.00,2867000000.00,2043000000.00,1323000000.00,654000000.00
毛利(元),21056000000.00,10039000000.00,35199000000.00,23838000000.00,14958000000.00,6873000000.00,23849000000.00,16088000000.00,10064000000.00,4544000000.00,15061000000.00,10044000000.00,6263000000.00,2889000000.00
减：研发费用(元),4761000000.00,2238000000.00,7754000000.00,5805000000.00,3753000000.00,1834000000.00,5919000000.00,4345000000.00,2806000000.00,1343000000.00,4816000000.00,3502000000.00,2231000000.00,1062000000.00
减：营销费用(元),3450000000.00,1595000000.00,4725000000.00,3351000000.00,2181000000.00,1057000000.00,3772000000.00,2651000000.00,1726000000.00,826000000.00,2725000000.00,1953000000.00,1247000000.00,620000000.00
减：一般及行政费用(元),1532000000.00,757000000.00,2517000000.00,1831000000.00,1295000000.00,655000000.00,1731000000.00,1216000000.00,778000000.00,366000000.00,1295000000.00,924000000.00,579000000.00,274000000.00
营业利润(元),11313000000.00,5449000000.00,20203000000.00,12851000000.00,7729000000.00,3327000000.00,12427000000.00,7876000000.00,4754000000.00,2009000000.00,6225000000.00,3665000000.00,2206000000.00,933000000.00
加：利息收入(元),165000000.00,161000000.00,-,281000000.00,168000000.00,81000000.00,91000000.00,125000000.00,78000000.00,56000000.00,-31000000.00,-28000000.00,-1000000.00,-1000000.00
加：其他收入(支出)(元),-,-,391000000.00,-,-,-,-,-,-,-,-,-,-,-
持续经营税前利润(元),11478000000.00,5610000000.00,20594000000.00,13132000000.00,7897000000.00,3408000000.00,12518000000.00,8001000000.00,4832000000.00,2065000000.00,6194000000.00,3637000000.00,2205000000.00,932000000.00
减：所得税(元),1385000000.00,622000000.00,4660000000.00,1467000000.00,938000000.00,344000000.00,2301000000.00,2057000000.00,1267000000.00,555000000.00,2506000000.00,1510000000.00,974000000.00,420000000.00
持续经营净利润(元),10093000000.00,4988000000.00,15934000000.00,11665000000.00,6959000000.00,3064000000.00,10217000000.00,5944000000.00,3565000000.00,1510000000.00,3688000000.00,2127000000.00,1231000000.00,512000000.00
净利润(元),10093000000.00,4988000000.00,15934000000.00,11665000000.00,6959000000.00,3064000000.00,10217000000.00,5944000000.00,3565000000.00,1510000000.00,3688000000.00,2127000000.00,1231000000.00,512000000.00
加：股东应占溢利其他项目(元),-,-,-,-,-,-,-,-,-,-5000000.00,-19000000.00,-12000000.00,-7000000.00,-
归属于母公司股东净利润(元),10093000000.00,4988000000.00,15934000000.00,11665000000.00,6959000000.00,3064000000.00,10217000000.00,5944000000.00,3565000000.00,1505000000.00,3669000000.00,2115000000.00,1224000000.00,512000000.00
减：归属于优先股净利润及其他项(元),1000000.00,1000000.00,14000000.00,13000000.00,10000000.00,5000000.00,29000000.00,18000000.00,12000000.00,-,-,-,-,3000000.00
归属于普通股股东净利润(元),10092000000.00,4987000000.00,15920000000.00,11652000000.00,6949000000.00,3059000000.00,10188000000.00,5926000000.00,3553000000.00,1505000000.00,3669000000.00,2115000000.00,1224000000.00,509000000.00
每股收益,,,,,,,,,,,,,,
基本每股收益－普通股(元),3.48,1.72,5.49,4.02,2.40,1.06,3.56,2.07,1.25,0.53,1.31,0.76,0.44,0.18
摊薄每股收益－普通股(元),3.43,1.69,5.39,3.95,2.36,1.04,3.49,2.05,1.23,0.52,1.29,0.75,0.43,0.18
其他全面收益(元),-460000000.00,-67000000.00,-,503000000.00,-,-,-,-,-,-,-,-,-,-
全面收益总额(元),9633000000.00,4921000000.00,-,12168000000.00,7292000000.00,3141000000.00,-,6027000000.00,-,1689000000.00,3461000000.00,1975000000.00,1102000000.00,-
公告日期,2018-07-26,2018-04-26,2018-01-31,2017-11-02,2017-07-27,2017-05-04,2017-02-03,2016-11-03,2016-07-28,2016-04-28,2016-01-28,2015-11-05,2015-07-31,2015-04-23
会计准则,美国会计准则,美国会计准则,,,,,,,,,,,,
审计意见,,,,,,,,,,,,,,
核数师,,,,,,,,,,,,,,

