zichanfuzhai
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

加：利息支出(元),-56997000.00,-27015000.00,-105237000.00,-78537000.00,-51805000.00,-25409000.00,-99968000.00,-74687000.00,-49827000.00,-24893000.00,-98178000.00,-73995000.00,-48756000.00,-24319000.00
加：其他收入(支出)(元),-5944000.00,-209000.00,-28921000.00,-39076000.00,-40998000.00,7322000.00,26342000.00,19680000.00,13040000.00,6306000.00,14909000.00,10378000.00,8430000.00,9125000.00
持续经营税前利润(元),129749000.00,63882000.00,-95418000.00,-188971000.00,-171440000.00,-58365000.00,-440834000.00,-278588000.00,-182279000.00,-77703000.00,-533305000.00,-446474000.00,-317946000.00,-161810000.00
减：所得税(元),-31365000.00,2885000.00,12645000.00,10171000.00,6607000.00,3194000.00,16039000.00,11231000.00,4669000.00,2028000.00,-12274000.00,-15679000.00,-18841000.00,632000.00
持续经营净利润(元),161114000.00,60997000.00,-108063000.00,-199142000.00,-178047000.00,-61559000.00,-456873000.00,-289819000.00,-186948000.00,-79731000.00,-521031000.00,-430795000.00,-299105000.00,-162442000.00
净利润(元),161114000.00,60997000.00,-108063000.00,-199142000.00,-178047000.00,-61559000.00,-456873000.00,-289819000.00,-186948000.00,-79731000.00,-521031000.00,-430795000.00,-299105000.00,-162442000.00
归属于母公司股东净利润(元),161114000.00,60997000.00,-108063000.00,-199142000.00,-178047000.00,-61559000.00,-456873000.00,-289819000.00,-186948000.00,-79731000.00,-521031000.00,-430795000.00,-299105000.00,-162442000.00
归属于普通股股东净利润(元),161114000.00,60997000.00,-108063000.00,-199142000.00,-178047000.00,-61559000.00,-456873000.00,-289819000.00,-186948000.00,-79731000.00,-521031000.00,-430795000.00,-299105000.00,-162442000.00
每股收益,,,,,,,,,,,,,,
基本每股收益－普通股(元),0.21,0.08,-0.15,-0.27,-0.25,-0.09,-0.65,-0.42,-0.27,-0.12,-0.79,-0.66,-0.46,-0.25
摊薄每股收益－普通股(元),0.21,0.08,-0.15,-0.27,-0.25,-0.09,-0.65,-0.42,-0.27,-0.12,-0.79,-0.66,-0.46,-0.25
其他全面收益(元),-24855000.00,9254000.00,37674000.00,32497000.00,-,7894000.00,-23687000.00,-,1063000.00,15076000.00,-35542000.00,-24272000.00,-22810000.00,-32932000.00
全面收益总额(元),136259000.00,70251000.00,-70389000.00,-166645000.00,-,-53665000.00,-480560000.00,-,-185885000.00,-64655000.00,-556573000.00,-455067000.00,-321915000.00,-195374000.00
公告日期,2018-07-30,2018-05-03,2018-02-23,2017-11-01,2017-07-27,2017-05-02,2017-02-27,2016-11-01,2016-08-01,2016-05-03,2016-02-29,2015-11-06,2015-08-07,2015-05-11
会计准则,美国会计准则,美国会计准则,,,,,,,,,,,,
审计意见,,,,,,,,,,,,,,
核数师,,,,,,,,,,,,,,

