zichanfuzhai
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

经营活动产生的现金流量净额(元),59256000.00,52615000.00,226867000.00,180193000.00,134531000.00,84495000.00,175047000.00,106134000.00,60481000.00,37466000.00,136774000.00,83221000.00,55051000.00,35004000.00
投资活动产生的现金流量：,,,,,,,,,,,,,,
购买固定资产支付的现金(元),-11076000.00,-5251000.00,-61823000.00,-43179000.00,-33860000.00,-23238000.00,-60732000.00,-42334000.00,-23452000.00,-13653000.00,-45130000.00,-32792000.00,-19117000.00,-7620000.00
购买无形资产及其他资产支付的现金(元),-156591000.00,-102450000.00,-421719000.00,-198144000.00,-,-,-,-,-,-,-,-,-,-
处置无形资产及其他资产收到的现金(元),99000.00,99000.00,14916000.00,-,-,-,-,-,-,-,-,-,-,-
投资支付现金(元),-,-,-,-,-,-,-,-,-16399000.00,-,-,-,-,-
收购附属公司(元),-10947000.00,-,-23966000.00,-,-,-,-16399000.00,-16399000.00,-,-,-,-,-,-
投资业务其他项目(元),139685000.00,77385000.00,30630000.00,-23966000.00,-,-,-,-,-,-16399000.00,-1000000.00,-1000000.00,-,-
投资活动产生的现金流量净额(元),-38830000.00,-30217000.00,-461962000.00,-265289000.00,-33860000.00,-23238000.00,-77131000.00,-58733000.00,-39851000.00,-30052000.00,-46130000.00,-33792000.00,-19117000.00,-7620000.00
融资活动产生的现金流量：,,,,,,,,,,,,,,
发行股份(元),25581000.00,2492000.00,38856000.00,24305000.00,21646000.00,4309000.00,34356000.00,21203000.00,18040000.00,3992000.00,20117000.00,-,-,-
回购股份(元),-60013000.00,-30007000.00,-79991000.00,-59986000.00,-40014000.00,-20008000.00,-20009000.00,-,-,-,-,-,-,-
行使股票期权所得(元),-,-,-,-,-,-,-,-,-,-,-,16110000.00,12900000.00,8348000.00
超额税收优惠(元),-,-,-,-,-,-,2215000.00,827000.00,552000.00,248000.00,5629000.00,4688000.00,633000.00,324000.00
融资活动产生的现金流量净额(元),-34432000.00,-27515000.00,-41135000.00,-35681000.00,-18368000.00,-15699000.00,16562000.00,22030000.00,18592000.00,4240000.00,25746000.00,20798000.00,13533000.00,8672000.00
汇率变动影响(元),-2781000.00,1233000.00,-4609000.00,3005000.00,1884000.00,374000.00,-1661000.00,-738000.00,-375000.00,448000.00,-1103000.00,-649000.00,-574000.00,-1005000.00
现金及现金等价物期初余额(元),627878000.00,627878000.00,908717000.00,908717000.00,908717000.00,908717000.00,795900000.00,795900000.00,795900000.00,795900000.00,680613000.00,680613000.00,680613000.00,680613000.00
现金及现金等价物增加(减少)额(元),-16787000.00,-3884000.00,-280839000.00,-117772000.00,84187000.00,45932000.00,112817000.00,68693000.00,38847000.00,12102000.00,115287000.00,69578000.00,48893000.00,35051000.00
现金及现金等价物期末余额(元),611091000.00,623994000.00,627878000.00,790945000.00,992904000.00,954649000.00,908717000.00,864593000.00,834747000.00,808002000.00,795900000.00,750191000.00,729506000.00,715664000.00
利息支付(元),-,-,-,-,-,-,15000.00,-,-,-,8000.00,-,-,-
所得税支付(元),-,-,4347000.00,-,-,-,1513000.00,-,-,-,959000.00,-,-,-
非现金活动(元),2513000.00,4192000.00,7473000.00,15358000.00,-,8039000.00,27293000.00,11513000.00,14733000.00,9795000.00,10283000.00,-,6306000.00,6664000.00
公告日期,2018-08-06,2018-05-08,2018-02-26,2017-11-07,2017-08-02,2017-05-08,2017-02-23,2016-11-04,2016-08-08,2016-05-09,2016-02-25,2015-11-09,2015-08-07,2015-05-08
会计准则,美国会计准则,美国会计准则,,,,,,,,,,,,
审计意见,,,,,,,,,,,,,,
核数师,,,,,,,,,,,,,,

lirun
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

