zichanfuzhai
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

截止日期,2018-03-31,2017-12-30,2017-09-30,2017-07-01,2017-04-01,2016-12-31,2016-09-24,2016-06-25,2016-03-26,2015-12-26,2015-09-26,2015-06-27,2015-03-28,2014-12-27
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,0929,0929,0930,0930,0930,0930,0924,0924,0924,0924,0926,0927,0927,0927
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
报表年结日,0929,0929,0930,0930,0930,0930,0924,0924,0924,0924,0926,0927,0927,0927
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
经营活动产生的现金流量：,,,,,,,,,,,,,,
净利润(元),33887000000.00,20065000000.00,48351000000.00,37637000000.00,28920000000.00,17891000000.00,45687000000.00,36673000000.00,28877000000.00,18361000000.00,53394000000.00,42270000000.00,31593000000.00,18024000000.00
折旧及摊销(元),5484000000.00,2745000000.00,10157000000.00,7673000000.00,5319000000.00,2987000000.00,10505000000.00,7957000000.00,5431000000.00,2954000000.00,11257000000.00,8138000000.00,5054000000.00,2575000000.00
基于股票的补偿费(元),2644000000.00,1296000000.00,4840000000.00,3666000000.00,2473000000.00,1256000000.00,4210000000.00,3180000000.00,2126000000.00,1078000000.00,3586000000.00,2671000000.00,1815000000.00,888000000.00
递延所得税(元),-34235000000.00,-33737000000.00,5966000000.00,4764000000.00,2822000000.00,1452000000.00,4938000000.00,5191000000.00,3092000000.00,1592000000.00,1382000000.00,2820000000.00,1879000000.00,2197000000.00
经营业务调整其他项目(元),-151000000.00,-11000000.00,-166000000.00,-142000000.00,-209000000.00,-274000000.00,-,-,-,-,-,-,-,-
存货的减少(增加)(元),-2807000000.00,434000000.00,-2723000000.00,-1014000000.00,-778000000.00,-580000000.00,217000000.00,518000000.00,68000000.00,-102000000.00,-238000000.00,69000000.00,-285000000.00,-172000000.00
待摊费用及其他资产(元),-1053000000.00,-197000000.00,-5318000000.00,-3229000000.00,-896000000.00,-1446000000.00,1090000000.00,1143000000.00,300000000.00,-893000000.00,-179000000.00,2286000000.00,2448000000.00,-1648000000.00
应收账款及票据减少(增加)(元),13238000000.00,-15230000000.00,-6347000000.00,6693000000.00,8695000000.00,1322000000.00,1044000000.00,11301000000.00,10519000000.00,5722000000.00,-3124000000.00,7312000000.00,9055000000.00,-2757000000.00
应付账款及票据增加(减少)(元),-13220000000.00,14588000000.00,9618000000.00,-5212000000.00,-6862000000.00,2460000000.00,1791000000.00,-9622000000.00,-9475000000.00,-852000000.00,5400000000.00,-3263000000.00,-5428000000.00,9003000000.00
递延收入(元),478000000.00,791000000.00,-626000000.00,-418000000.00,-221000000.00,42000000.00,-1554000000.00,-1148000000.00,219000000.00,-29000000.00,1042000000.00,1040000000.00,993000000.00,945000000.00
应计费用及其他负债(元),39158000000.00,37549000000.00,-154000000.00,-2476000000.00,316000000.00,1946000000.00,-2104000000.00,-5495000000.00,-2093000000.00,-368000000.00,8746000000.00,4448000000.00,5679000000.00,4667000000.00
经营活动产生的现金流量净额(元),43423000000.00,28293000000.00,63598000000.00,47942000000.00,39579000000.00,27056000000.00,65824000000.00,49698000000.00,39064000000.00,27463000000.00,81266000000.00,67791000000.00,52803000000.00,33722000000.00
投资活动产生的现金流量：,,,,,,,,,,,,,,
购买固定资产支付的现金(元),-7005000000.00,-2810000000.00,-12451000000.00,-8586000000.00,-6309000000.00,-3334000000.00,-12734000000.00,-8757000000.00,-5948000000.00,-3612000000.00,-11247000000.00,-7629000000.00,-5586000000.00,-3217000000.00
购买无形资产及其他资产支付的现金(元),-48449000000.00,-41520000000.00,-160225000000.00,-123990000000.00,-99947000000.00,-54358000000.00,-144630000000.00,-114197000000.00,-86899000000.00,-48230000000.00,-166643000000.00,-137725000000.00,-92678000000.00,-44963000000.00
处置无形资产及其他资产收到的现金(元),70826000000.00,30849000000.00,126339000000.00,96094000000.00,72883000000.00,38691000000.00,111794000000.00,84841000000.00,59199000000.00,31776000000.00,121985000000.00,90551000000.00,54795000000.00,26973000000.00
贷款偿还(元),-,-,-,-,-,-17000000.00,-,-,-,-,-,-,-,-
收购附属公司(元),-305000000.00,-173000000.00,-329000000.00,-248000000.00,-67000000.00,-,-297000000.00,-146000000.00,-140000000.00,-86000000.00,-343000000.00,-230000000.00,-115000000.00,-23000000.00
投资业务其他项目(元),53000000.00,64000000.00,220000000.00,226000000.00,116000000.00,-104000000.00,-110000000.00,-321000000.00,-322000000.00,-298000000.00,-26000000.00,134000000.00,88000000.00,65000000.00
投资活动产生的现金流量净额(元),15120000000.00,-13590000000.00,-46446000000.00,-36504000000.00,-33324000000.00,-19122000000.00,-45977000000.00,-38580000000.00,-34110000000.00,-20450000000.00,-56274000000.00,-54899000000.00,-43496000000.00,-21165000000.00
融资活动产生的现金流量：,,,,,,,,,,,,,,
偿还借款(元),-,-,-1874000000.00,-1646000000.00,-788000000.00,-629000000.00,-,-10419000000.00,-,-3566000000.00,-,-,-,-
发行股份(元),327000000.00,-,555000000.00,274000000.00,273000000.00,-,25449000000.00,247000000.00,247000000.00,1000000.00,543000000.00,324000000.00,309000000.00,80000000.00
回购股份(元),-32851000000.00,-10095000000.00,-32900000000.00,-25105000000.00,-18012000000.00,-10851000000.00,-29722000000.00,-23696000000.00,-13530000000.00,-6863000000.00,-35253000000.00,-22000000000.00,-12000000000.00,-5030000000.00
发行债券(元),6969000000.00,6969000000.00,28662000000.00,-,10975000000.00,-,-,17984000000.00,15584000000.00,-,27114000000.00,21312000000.00,11332000000.00,3485000000.00
赎回债券(元),-500000000.00,-,-3500000000.00,366000000.00,1879000000.00,-,-2500000000.00,-2500000000.00,-,-,-,-,-2508000000.00,-2409000000.00
股息支付(元),-6529000000.00,-3339000000.00,-12769000000.00,-9499000000.00,-6134000000.00,-3130000000.00,-12150000000.00,-,-,-,-11561000000.00,-8597000000.00,-5544000000.00,-2801000000.00
超额税收优惠(元),-,-,627000000.00,534000000.00,225000000.00,178000000.00,407000000.00,391000000.00,264000000.00,224000000.00,749000000.00,684000000.00,357000000.00,264000000.00
筹资业务其他项目(元),-1189000000.00,-1036000000.00,3852000000.00,21725000000.00,-,2385000000.00,-1967000000.00,3992000000.00,-7125000000.00,-1240000000.00,692000000.00,-3140000000.00,-608000000.00,-512000000.00
融资活动产生的现金流量净额(元),-33773000000.00,-7501000000.00,-17347000000.00,-13351000000.00,-11582000000.00,-12047000000.00,-20483000000.00,-14001000000.00,-4560000000.00,-11444000000.00,-17716000000.00,-11417000000.00,-8662000000.00,-6923000000.00
现金及现金等价物期初余额(元),20289000000.00,20289000000.00,20484000000.00,20484000000.00,20484000000.00,20484000000.00,21120000000.00,21120000000.00,21120000000.00,21120000000.00,13844000000.00,13844000000.00,13844000000.00,13844000000.00
现金及现金等价物增加(减少)额(元),24770000000.00,7202000000.00,-195000000.00,-1913000000.00,-5327000000.00,-4113000000.00,-636000000.00,-2883000000.00,394000000.00,-4431000000.00,7276000000.00,1475000000.00,645000000.00,5634000000.00
现金及现金等价物期末余额(元),45059000000.00,27491000000.00,20289000000.00,18571000000.00,15157000000.00,16371000000.00,20484000000.00,18237000000.00,21514000000.00,16689000000.00,21120000000.00,15319000000.00,14489000000.00,19478000000.00
利息支付(元),1356000000.00,623000000.00,2092000000.00,1456000000.00,1007000000.00,497000000.00,1316000000.00,892000000.00,565000000.00,396000000.00,514000000.00,427000000.00,220000000.00,202000000.00
所得税支付(元),6340000000.00,3551000000.00,11591000000.00,9752000000.00,6878000000.00,3510000000.00,10444000000.00,8990000000.00,6630000000.00,3398000000.00,13252000000.00,10604000000.00,7058000000.00,3869000000.00
公告日期,2018-05-02,2018-02-02,2017-11-03,2017-08-02,2017-05-03,2017-02-01,2016-10-26,2016-07-27,2016-04-27,2016-01-27,2015-10-28,2015-07-22,2015-04-28,2015-01-28
会计准则,美国会计准则,,,,,,,,,,,,,
